bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|34.0,40,3,,7.5,,99.6,90.3,O
A1|35.0,37,1,,2.7,,82.6,84.2,O
A1|36.0,35,2,,5.7,,24.7,69.4,X
A1|37.0,50,5,,10.0,,304.9,123.8,O
A1|38.0,54,2,,3.7,,135.0,109.4,O
A1|39.0,60,4,,6.7,,63.9,54.7,X
A1|40.0,50,1,,2.0,,33.5,58.3,X
A1|41.0,71,6,,8.5,,157.8,73.8,X
A1|42.0,65,2,,3.1,,15.4,39.2,X
A1|43.0,71,2,,2.8,,28.4,101.7,O
A1|44.0,72,4,,5.6,,113.0,80.5,O
A1|45.0,68,5,,7.4,,129.0,146.8,O
A1|46.0,77,4,,5.2,,69.3,53.0,X
A1|47.0,99,8,,8.1,,148.2,95.4,O
A1|48.0,79,3,,3.8,,44.4,103.7,O
A1|49.0,108,4,,3.7,,44.6,54.3,X
A1|50.0,92,5,,5.4,,128.3,66.3,X
A1|51.0,84,4,,4.8,,26.5,62.7,X
A1|52.0,95,6,,6.3,,64.6,64.5,X
A1|53.0,93,3,,3.2,,38.4,69.1,X
A1|54.0,116,4,,3.4,,65.4,48.6,X
A1|55.0,115,4,,3.5,,50.0,48.6,X
A1|56.0,132,6,,4.5,,105.7,93.2,O
A1|57.0,128,4,,3.1,,89.1,74.2,X
A1|58.0,103,5,,4.9,,70.8,55.4,X
A1|59.0,117,5,,4.3,,47.2,54.3,X
A1|60.0,115,3,,2.6,,43.1,57.2,X
A1|61.0,129,5,,3.9,,49.5,62.7,X
A1|62.0,122,9,,7.4,,115.1,74.9,X
A1|63.0,115,4,,3.5,,44.8,41.9,X
A1|64.0,89,9,,10.1,,102.7,65.6,X
A1|65.0,81,4,,4.9,,105.8,62.1,X
A1|66.0,66,1,,1.5,,11.1,98.1,O
A1|67.0,86,7,,8.1,,120.6,107.9,O
A1|68.0,61,7,,11.5,,152.8,87.9,O
A1|69.0,73,2,,2.7,,36.1,84.1,O
A1|70.0,68,1,,1.5,,28.2,37.3,X
A1|71.0,51,4,,7.8,,70.0,78.1,X
A1|72.0,57,4,,7.0,,137.2,82.3,O
A1|73.0,44,2,,4.5,,163.3,95.6,O
A1|74.0,38,0,,0.0,,0.0,100.1,O
A1|75.0,31,1,,3.2,,34.1,37.5,X
A2|27.0,33,2,,6.1,,231.7,104.6,O
A2|28.0,36,1,,2.8,,50.1,111.1,O
A2|29.0,44,2,,4.5,,78.8,33.8,X
A2|30.0,60,3,,5.0,,101.2,81.8,O
A2|31.0,57,1,,1.8,,68.5,115.8,O
A2|32.0,70,2,,2.9,,31.0,93.6,O
A2|33.0,71,3,,4.2,,32.6,42.9,X
A2|34.0,70,0,,0.0,,0.0,17.9,X
A2|35.0,92,3,,3.3,,81.5,66.0,X
A2|36.0,80,3,,3.8,,60.0,53.9,X
A2|37.0,93,2,,2.2,,45.5,67.4,X
A2|38.0,84,2,,2.4,,131.2,67.6,X
A2|39.0,93,2,,2.2,,54.1,84.0,O
A2|40.0,99,6,,6.1,,159.9,57.9,X
A2|41.0,108,9,,8.3,,165.9,131.1,O
A2|42.0,84,4,,4.8,,91.0,53.5,X
A2|43.0,106,2,,1.9,,35.0,71.2,X
A2|44.0,116,1,,0.9,,52.1,43.2,X
A2|45.0,108,3,,2.8,,47.9,58.2,X
A2|46.0,105,2,,1.9,,9.6,69.4,X
A2|47.0,108,5,,4.6,,39.8,71.3,X
A2|48.0,109,3,,2.8,,22.8,94.1,O
A2|49.0,124,5,,4.0,,70.4,80.9,O
A2|50.0,121,9,,7.4,,100.9,71.9,X
A2|51.0,129,7,,5.4,,109.5,73.3,X
A2|52.0,131,3,,2.3,,24.4,37.9,X
A2|53.0,98,4,,4.1,,70.9,96.7,O
A2|54.0,95,1,,1.1,,16.4,45.6,X
A2|55.0,106,4,,3.8,,31.5,67.1,X
A2|56.0,97,5,,5.2,,32.9,42.4,X
A2|57.0,94,5,,5.3,,56.7,89.4,O
A2|58.0,93,8,,8.6,,97.0,70.7,X
A2|59.0,70,3,,4.3,,89.3,73.9,X
A2|60.0,50,4,,8.0,,149.8,82.2,O
A2|61.0,55,2,,3.6,,27.8,25.0,X
A2|62.0,50,0,,0.0,,0.0,42.2,X
A2|63.0,51,2,,3.9,,122.2,42.3,X
A2|64.0,39,0,,0.0,,0.0,61.7,X
A2|65.0,37,1,,2.7,,7.4,79.2,X
A2|66.0,31,0,,0.0,,0.0,51.1,X
A3|20.0,30,0,,0.0,,0.0,28.3,X
A3|23.0,38,2,,5.3,,152.7,135.1,O
A3|24.0,41,1,,2.4,,29.3,114.6,O
A3|25.0,44,1,,2.3,,18.7,47.1,X
A3|26.0,56,0,,0.0,,0.0,23.6,X
A3|27.0,52,6,,11.5,,258.9,111.8,O
A3|28.0,51,3,,5.9,,91.0,82.1,O
A3|29.0,81,4,,4.9,,195.7,106.3,O
A3|30.0,85,1,,1.2,,3.8,41.8,X
A3|31.0,87,1,,1.1,,8.1,104.7,O
A3|32.0,86,1,,1.2,,14.1,71.3,X
A3|33.0,67,2,,3.0,,47.0,101.1,O
A3|34.0,108,0,,0.0,,0.0,62.0,X
A3|35.0,82,4,,4.9,,109.6,93.5,O
A3|36.0,101,2,,2.0,,38.2,48.6,X
A3|37.0,108,7,,6.5,,160.6,72.0,X
A3|38.0,98,4,,4.1,,72.3,70.0,X
A3|39.0,112,6,,5.4,,49.6,73.6,X
A3|40.0,113,5,,4.4,,116.3,51.0,X
A3|41.0,102,3,,2.9,,20.6,126.4,O
A3|42.0,107,2,,1.9,,22.1,79.1,X
A3|43.0,117,6,,5.1,,71.5,81.5,O
A3|44.0,114,7,,6.1,,95.5,83.0,O
A3|45.0,124,8,,6.5,,153.2,114.6,O
A3|46.0,111,3,,2.7,,56.9,94.2,O
A3|47.0,97,6,,6.2,,144.0,127.0,O
A3|48.0,123,2,,1.6,,54.4,76.6,X
A3|49.0,108,7,,6.5,,82.5,104.4,O
A3|50.0,118,3,,2.5,,31.1,56.6,X
A3|51.0,78,6,,7.7,,119.7,111.4,O
A3|52.0,72,3,,4.2,,45.2,45.6,X
A3|53.0,87,3,,3.4,,130.2,69.1,X
A3|54.0,66,4,,6.1,,113.3,106.8,O
A3|55.0,63,2,,3.2,,29.2,52.5,X
A3|56.0,57,2,,3.5,,61.7,101.5,O
A3|57.0,37,3,,8.1,,79.1,110.1,O
A3|58.0,40,3,,7.5,,150.3,97.9,O
A3|60.0,34,1,,2.9,,46.2,57.6,X
A4|17.0,31,2,,6.5,,54.0,44.5,X
A4|19.0,33,1,,3.0,,21.8,55.6,X
A4|20.0,50,0,,0.0,,0.0,55.1,X
A4|21.0,36,1,,2.8,,30.1,22.1,X
A4|22.0,48,2,,4.2,,71.4,46.4,X
A4|23.0,57,2,,3.5,,156.1,111.4,O
A4|24.0,66,4,,6.1,,211.7,66.5,X
A4|25.0,70,0,,0.0,,0.0,84.5,O
A4|26.0,63,0,,0.0,,0.0,77.6,X
A4|27.0,73,3,,4.1,,26.8,65.9,X
A4|28.0,77,2,,2.6,,35.6,55.9,X
A4|29.0,81,7,,8.6,,296.8,88.9,O
A4|30.0,92,8,,8.7,,152.8,101.8,O
A4|31.0,82,4,,4.9,,69.5,40.1,X
A4|32.0,90,3,,3.3,,88.5,88.9,O
A4|33.0,96,4,,4.2,,63.8,71.6,X
A4|34.0,80,4,,5.0,,195.6,122.6,O
A4|35.0,97,2,,2.1,,81.5,84.4,O
A4|36.0,87,5,,5.7,,124.0,78.7,X
A4|37.0,109,5,,4.6,,194.6,79.0,X
A4|38.0,115,5,,4.3,,40.5,46.3,X
A4|39.0,115,8,,7.0,,180.9,73.1,X
A4|40.0,105,7,,6.7,,100.1,51.5,X
A4|41.0,93,4,,4.3,,60.3,93.3,O
A4|42.0,100,7,,7.0,,110.0,68.2,X
