bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|0.0,344,14,,4.1,,88.6,84.2,O
A1|1.0,1551,84,,5.4,,99.5,72.8,X
A1|10.0,612,28,,4.6,,83.3,80.1,O
A1|11.0,473,27,,5.7,,69.5,77.3,X
A1|12.0,378,18,,4.8,,67.7,75.9,X
A1|13.0,317,25,,7.9,,116.1,75.6,X
A1|14.0,214,14,,6.5,,90.2,87.8,O
A1|15.0,208,11,,5.3,,59.9,80.6,O
A1|16.0,172,2,,1.2,,14.1,46.5,X
A1|17.0,139,6,,4.3,,56.0,89.2,O
A1|18.0,103,3,,2.9,,44.6,60.6,X
A1|19.0,101,6,,5.9,,69.2,52.5,X
A1|2.0,1935,100,,5.2,,58.4,72.0,X
A1|20.0,88,6,,6.8,,57.2,27.6,X
A1|21.0,68,2,,2.9,,51.9,94.9,O
A1|22.0,57,2,,3.5,,35.1,141.5,O
A1|23.0,36,2,,5.6,,96.0,75.7,X
A1|24.0,31,2,,6.5,,128.8,69.1,X
A1|25.0,42,3,,7.1,,65.7,90.8,O
A1|26.0,43,3,,7.0,,72.7,78.6,X
A1|27.0,35,1,,2.9,,183.4,107.9,O
A1|3.0,1316,68,,5.2,,66.3,66.4,X
A1|4.0,780,33,,4.2,,69.3,76.9,X
A1|5.0,745,37,,5.0,,69.2,86.4,O
A1|6.0,760,46,,6.1,,91.9,81.0,O
A1|7.0,767,48,,6.3,,91.4,77.9,X
A1|8.0,807,43,,5.3,,79.3,80.7,O
A1|9.0,730,39,,5.3,,80.5,84.3,O
A2|0.0,357,13,,3.6,,56.5,64.2,X
A2|1.0,1726,65,,3.8,,67.3,79.4,X
A2|10.0,578,24,,4.2,,59.0,66.3,X
A2|11.0,382,18,,4.7,,83.0,95.8,O
A2|12.0,325,18,,5.5,,93.6,68.2,X
A2|13.0,252,9,,3.6,,77.5,69.7,X
A2|14.0,194,8,,4.1,,53.7,73.3,X
A2|15.0,195,6,,3.1,,108.8,82.4,O
