bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|111,45,2,,4.4,,52.1,64.2,X
A1|122,69,4,,5.8,,77.5,78.7,X
A1|211,139,9,,6.5,,137.6,64.9,X
A1|22,103,13,,12.6,,170.5,96.3,O
A1|221,265,16,,6.0,,78.9,87.1,O
A1|222,5389,293,,5.4,,69.9,78.2,X
A1|223,253,14,,5.5,,86.8,67.1,X
A1|232,2332,97,,4.2,,61.9,71.9,X
A1|233,1826,94,,5.1,,85.3,76.6,X
A1|32,63,4,,6.3,,78.7,77.0,X
A1|322,240,14,,5.8,,115.2,71.0,X
A1|323,476,25,,5.3,,86.7,84.0,O
A1|33,165,6,,3.6,,52.6,72.2,X
A1|332,286,21,,7.3,,123.3,81.7,O
A1|333,1191,65,,5.5,,98.9,73.5,X
A2|111,57,4,,7.0,,191.0,79.1,X
A2|122,71,6,,8.5,,118.3,68.5,X
A2|211,132,9,,6.8,,127.1,69.6,X
A2|22,115,6,,5.2,,69.4,88.1,O
A2|221,275,5,,1.8,,47.1,71.9,X
A2|222,5176,229,,4.4,,75.5,76.3,X
A2|223,288,10,,3.5,,45.4,65.0,X
A2|232,2317,92,,4.0,,55.9,75.5,X
A2|233,1664,68,,4.1,,72.2,68.9,X
A2|32,52,3,,5.8,,214.3,91.5,O
A2|322,230,7,,3.0,,37.0,52.4,X
A2|323,463,16,,3.5,,73.9,72.4,X
A2|33,165,3,,1.8,,38.4,67.7,X
A2|332,313,19,,6.1,,88.5,68.0,X
A2|333,1055,45,,4.3,,64.7,55.9,X
A3|111,58,0,,0.0,,0.0,51.3,X
A3|122,48,1,,2.1,,13.2,93.0,O
A3|211,137,3,,2.2,,38.4,50.7,X
A3|22,96,3,,3.1,,30.6,60.8,X
A3|221,228,15,,6.6,,180.7,82.5,O
A3|222,4739,214,,4.5,,78.5,81.9,O
A3|223,241,10,,4.1,,61.3,67.9,X
A3|232,2124,90,,4.2,,64.1,75.2,X
A3|233,1716,73,,4.3,,80.1,82.9,O
A3|32,62,2,,3.2,,116.6,71.3,X
A3|322,220,14,,6.4,,158.2,98.9,O
A3|323,397,10,,2.5,,43.3,58.5,X
A3|33,163,5,,3.1,,54.5,84.1,O
A3|332,282,12,,4.3,,59.6,76.6,X
A3|333,1047,35,,3.3,,77.7,81.0,O
A4|111,46,2,,4.3,,45.5,93.8,O
A4|122,58,2,,3.4,,20.6,77.3,X
A4|211,99,4,,4.0,,169.4,80.1,O
A4|22,104,3,,2.9,,35.6,91.6,O
A4|221,209,8,,3.8,,76.9,70.8,X
A4|222,4300,197,,4.6,,79.2,78.9,X
A4|223,226,15,,6.6,,168.1,92.9,O
A4|232,1924,87,,4.5,,93.0,81.8,O
A4|233,1552,68,,4.4,,109.5,81.7,O
A4|32,56,4,,7.1,,90.0,71.4,X
A4|322,198,7,,3.5,,125.0,71.7,X
A4|323,393,20,,5.1,,106.4,73.3,X
A4|33,166,5,,3.0,,53.1,69.9,X
A4|332,258,12,,4.7,,55.0,60.0,X
A4|333,995,34,,3.4,,69.9,66.4,X
B1|111,37,0,,0.0,,0.0,127.6,O
B1|211,87,1,,1.1,,26.1,55.0,X
B1|22,40,1,,2.5,,195.1,111.2,O
B1|221,106,1,,0.9,,16.2,85.3,O
B1|222,2345,52,,2.2,,86.7,78.3,X
B1|223,103,4,,3.9,,150.6,123.9,O
B1|232,1170,34,,2.9,,136.0,98.1,O
B1|233,935,22,,2.4,,101.8,104.7,O
B1|322,91,1,,1.1,,32.2,66.1,X
B1|323,211,1,,0.5,,7.4,97.6,O
B1|33,63,0,,0.0,,0.0,47.1,X
B1|332,139,3,,2.2,,35.7,81.9,O
B1|333,459,8,,1.7,,89.4,80.3,O
B2|211,50,1,,2.0,,76.0,40.4,X
B2|22,30,0,,0.0,,0.0,136.5,O
B2|221,85,1,,1.2,,131.8,104.5,O
B2|222,1554,24,,1.5,,94.3,78.3,X
B2|223,62,0,,0.0,,0.0,106.4,O
B2|232,804,18,,2.2,,128.6,90.4,O
B2|233,733,7,,1.0,,47.6,60.1,X
B2|322,73,0,,0.0,,0.0,75.0,X
B2|323,120,2,,1.7,,39.9,104.9,O
B2|33,43,2,,4.7,,182.1,92.2,O
B2|332,86,0,,0.0,,0.0,58.2,X
B2|333,347,6,,1.7,,78.4,82.1,O
