bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|01,177,9,,5.1,,42.4,81.1,O
A1|02,267,16,,6.0,,88.7,58.5,X
A1|03,284,18,,6.3,,44.2,70.0,X
A1|04,376,19,,5.1,,85.1,66.5,X
A1|05,336,19,,5.7,,111.4,92.9,O
A1|06,403,28,,6.9,,102.2,83.4,O
A1|07,388,14,,3.6,,50.9,65.2,X
A1|08,310,15,,4.8,,74.9,68.5,X
A1|09,268,13,,4.9,,116.3,73.1,X
A1|10,215,8,,3.7,,77.4,53.6,X
A1|11,202,9,,4.5,,68.1,82.4,O
A1|12,135,5,,3.7,,41.1,58.0,X
A1|13,114,6,,5.3,,172.8,107.7,O
A1|14,91,3,,3.3,,110.8,32.8,X
A1|15,52,2,,3.8,,43.1,30.3,X
A1|16,34,2,,5.9,,45.0,45.4,X
A2|01,148,8,,5.4,,92.5,82.5,O
A2|02,226,11,,4.9,,77.2,74.0,X
A2|03,300,10,,3.3,,52.7,58.8,X
A2|04,308,11,,3.6,,36.2,62.4,X
A2|05,362,17,,4.7,,103.0,89.3,O
A2|06,355,15,,4.2,,80.9,73.4,X
A2|07,327,12,,3.7,,47.1,78.8,X
A2|08,320,19,,5.9,,107.2,57.7,X
A2|09,297,5,,1.7,,39.5,42.8,X
A2|10,239,7,,2.9,,53.3,47.0,X
A2|11,198,7,,3.5,,114.8,114.5,O
A2|12,155,3,,1.9,,9.3,65.4,X
A2|13,127,7,,5.5,,119.0,77.0,X
A2|14,88,1,,1.1,,2.1,85.8,O
A2|15,63,1,,1.6,,143.4,55.4,X
A2|16,48,4,,8.3,,146.5,83.0,O
A3|01,133,9,,6.8,,64.9,81.2,O
A3|02,185,8,,4.3,,52.2,64.2,X
A3|03,258,8,,3.1,,38.8,70.1,X
A3|04,283,9,,3.2,,77.1,76.5,X
A3|05,279,13,,4.7,,65.1,86.1,O
A3|06,341,14,,4.1,,64.0,87.3,O
A3|07,334,12,,3.6,,73.1,76.3,X
A3|08,363,14,,3.9,,79.3,102.9,O
A3|09,263,9,,3.4,,69.0,64.0,X
A3|10,248,15,,6.0,,173.9,112.0,O
A3|11,206,7,,3.4,,97.2,62.7,X
A3|12,164,4,,2.4,,63.5,78.0,X
A3|13,121,4,,3.3,,45.4,100.8,O
A3|14,90,2,,2.2,,81.3,111.4,O
A3|15,75,6,,8.0,,148.9,130.1,O
A3|16,48,1,,2.1,,6.0,18.8,X
A4|01,120,4,,3.3,,30.7,45.0,X
A4|02,180,7,,3.9,,47.4,57.2,X
A4|03,233,14,,6.0,,62.3,94.9,O
A4|04,257,13,,5.1,,84.0,73.0,X
A4|05,292,20,,6.8,,95.8,57.9,X
A4|06,279,20,,7.2,,145.9,97.0,O
A4|07,323,16,,5.0,,101.3,74.6,X
A4|08,286,20,,7.0,,170.3,87.6,O
A4|09,303,10,,3.3,,51.0,75.6,X
A4|10,256,12,,4.7,,103.5,101.8,O
A4|11,212,10,,4.7,,153.9,77.3,X
A4|12,163,8,,4.9,,134.3,66.7,X
A4|13,134,6,,4.5,,95.8,50.3,X
A4|14,90,3,,3.3,,98.2,94.4,O
A4|15,52,3,,5.8,,357.4,93.6,O
A4|16,42,1,,2.4,,20.3,53.5,X
B1|02,47,0,,0.0,,0.0,76.4,X
B1|03,65,5,,7.7,,185.5,91.0,O
B1|04,90,2,,2.2,,132.4,76.0,X
B1|05,127,3,,2.4,,98.0,64.8,X
B1|06,143,4,,2.8,,66.4,64.1,X
B1|07,169,5,,3.0,,117.6,89.5,O
B1|08,176,2,,1.1,,24.0,69.7,X
B1|09,176,2,,1.1,,84.3,81.3,O
B1|10,179,1,,0.6,,10.3,53.9,X
B1|11,179,3,,1.7,,57.4,82.9,O
B1|12,144,5,,3.5,,129.2,131.3,O
B1|13,128,1,,0.8,,28.8,59.1,X
B1|14,89,3,,3.4,,172.6,115.7,O
B1|15,62,1,,1.6,,107.2,80.8,O
B1|16,52,1,,1.9,,31.2,77.1,X
B2|01,34,0,,0.0,,0.0,125.2,O
B2|02,40,0,,0.0,,0.0,15.8,X
B2|03,34,0,,0.0,,0.0,152.2,O
B2|04,62,3,,4.8,,184.0,56.9,X
B2|05,90,1,,1.1,,17.2,201.8,O
B2|06,102,0,,0.0,,0.0,12.7,X
B2|07,89,0,,0.0,,0.0,19.6,X
B2|08,122,1,,0.8,,7.1,102.9,O
B2|09,140,4,,2.9,,174.8,108.5,O
B2|10,135,1,,0.7,,22.3,84.9,O
B2|11,132,2,,1.5,,128.2,48.8,X
B2|12,113,3,,2.7,,169.4,133.4,O
B2|13,95,1,,1.1,,123.6,28.0,X
B2|14,78,0,,0.0,,0.0,124.5,O
B2|15,76,0,,0.0,,0.0,68.5,X
B2|16,47,0,,0.0,,0.0,60.7,X
