bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|1.0,79,8,,10.1,,48.0,72.6,X
01|10.0,34,2,,5.9,,299.5,71.2,X
01|2.0,70,13,,18.6,,149.1,115.8,O
01|3.0,77,12,,15.6,,69.7,113.1,O
01|4.0,61,8,,13.1,,207.6,117.5,O
01|5.0,64,6,,9.4,,104.0,82.6,O
01|6.0,60,5,,8.3,,145.4,57.1,X
01|7.0,49,3,,6.1,,44.5,55.1,X
01|8.0,44,2,,4.5,,11.5,59.6,X
01|9.0,34,0,,0.0,,0.0,55.5,X
02|1.0,1096,124,,11.3,,94.7,82.4,O
02|10.0,472,31,,6.6,,82.3,99.6,O
02|11.0,401,17,,4.2,,63.5,73.1,X
02|12.0,356,26,,7.3,,117.4,69.5,X
02|13.0,253,13,,5.1,,35.8,68.7,X
02|14.0,230,23,,10.0,,137.7,100.2,O
02|15.0,181,9,,5.0,,31.0,47.1,X
02|16.0,124,9,,7.3,,149.7,89.2,O
02|17.0,41,2,,4.9,,20.5,55.7,X
02|18.0,31,1,,3.2,,3.2,3.9,X
02|2.0,1025,121,,11.8,,70.9,71.1,X
02|3.0,942,106,,11.3,,87.1,81.2,O
02|4.0,923,85,,9.2,,71.3,73.9,X
02|5.0,811,72,,8.9,,43.8,63.6,X
02|6.0,754,55,,7.3,,50.1,79.5,X
02|7.0,703,36,,5.1,,63.6,73.4,X
02|8.0,625,39,,6.2,,98.7,88.9,O
02|9.0,535,32,,6.0,,65.5,87.4,O
03|1.0,1688,209,,12.4,,89.8,76.7,X
03|10.0,631,36,,5.7,,56.9,70.7,X
03|11.0,533,36,,6.8,,97.8,74.7,X
03|12.0,442,28,,6.3,,85.7,74.8,X
03|13.0,348,21,,6.0,,73.1,75.2,X
03|14.0,282,16,,5.7,,92.8,64.1,X
03|15.0,231,12,,5.2,,81.6,65.0,X
03|16.0,155,4,,2.6,,146.3,77.2,X
03|17.0,52,5,,9.6,,299.4,112.6,O
03|18.0,33,1,,3.0,,59.8,61.3,X
03|2.0,1542,194,,12.6,,82.0,77.7,X
03|3.0,1407,175,,12.4,,81.2,76.6,X
03|4.0,1252,115,,9.2,,63.1,81.5,O
03|5.0,1173,105,,9.0,,71.8,78.7,X
03|6.0,1008,72,,7.1,,64.8,79.0,X
03|7.0,926,51,,5.5,,57.6,73.4,X
03|8.0,815,55,,6.7,,84.8,87.6,O
03|9.0,682,48,,7.0,,87.5,80.4,O
04|1.0,257,31,,12.1,,90.5,81.9,O
04|10.0,74,3,,4.1,,62.2,78.1,X
04|11.0,79,5,,6.3,,146.9,70.5,X
04|12.0,67,4,,6.0,,18.2,141.1,O
04|13.0,46,3,,6.5,,31.9,110.8,O
04|14.0,35,2,,5.7,,53.6,73.1,X
04|15.0,37,0,,0.0,,0.0,71.9,X
04|2.0,246,29,,11.8,,58.4,70.2,X
04|3.0,196,27,,13.8,,80.1,69.4,X
04|4.0,186,22,,11.8,,111.2,79.9,X
04|5.0,171,10,,5.8,,40.3,70.9,X
04|6.0,140,8,,5.7,,43.5,94.7,O
04|7.0,111,8,,7.2,,45.2,62.6,X
04|8.0,128,14,,10.9,,172.0,113.1,O
04|9.0,76,2,,2.6,,32.6,70.5,X
06|1.0,50,6,,12.0,,101.4,77.7,X
06|2.0,41,5,,12.2,,25.3,85.8,O
06|3.0,47,3,,6.4,,13.1,31.5,X
06|4.0,52,7,,13.5,,66.3,58.4,X
06|5.0,44,4,,9.1,,40.8,65.8,X
06|6.0,40,2,,5.0,,26.6,55.4,X
06|7.0,30,2,,6.7,,29.6,150.0,O
06|9.0,31,2,,6.5,,207.2,156.0,O
07|7.0,33,1,,3.0,,42.3,37.0,X
09|1.0,86,6,,7.0,,30.6,65.7,X
09|10.0,31,2,,6.5,,62.9,114.4,O
09|2.0,88,22,,25.0,,173.6,115.7,O
09|3.0,70,8,,11.4,,35.1,57.6,X
09|4.0,45,5,,11.1,,61.9,58.8,X
09|5.0,65,8,,12.3,,67.8,75.6,X
09|6.0,55,3,,5.5,,29.8,72.7,X
09|7.0,47,2,,4.3,,89.5,63.2,X
09|8.0,35,4,,11.4,,84.3,161.0,O
09|9.0,34,3,,8.8,,88.7,113.6,O
10|1.0,2147,234,,10.9,,73.5,74.6,X
10|10.0,740,38,,5.1,,66.8,82.3,O
10|11.0,638,34,,5.3,,73.7,68.8,X
10|12.0,505,27,,5.3,,78.0,72.1,X
10|13.0,436,26,,6.0,,71.5,65.5,X
10|14.0,350,18,,5.1,,68.9,72.8,X
10|15.0,259,20,,7.7,,74.6,90.4,O
10|16.0,183,12,,6.6,,157.7,68.2,X
10|17.0,72,8,,11.1,,117.0,83.5,O
10|18.0,44,3,,6.8,,70.5,30.5,X
10|2.0,2103,331,,15.7,,84.3,79.2,X
10|3.0,1988,230,,11.6,,68.5,73.5,X
10|4.0,1762,186,,10.6,,75.1,79.4,X
10|5.0,1674,148,,8.8,,89.5,78.7,X
10|6.0,1340,133,,9.9,,86.0,96.4,O
10|7.0,1308,101,,7.7,,81.9,83.9,O
10|8.0,1103,81,,7.3,,96.2,76.2,X
10|9.0,988,61,,6.2,,78.1,74.8,X
11|1.0,1057,126,,11.9,,84.1,80.9,O
11|10.0,413,29,,7.0,,89.3,81.9,O
11|11.0,340,21,,6.2,,121.4,102.6,O
11|12.0,280,15,,5.4,,58.0,87.6,O
11|13.0,238,11,,4.6,,70.8,89.5,O
11|14.0,181,10,,5.5,,33.3,62.9,X
11|15.0,157,7,,4.5,,57.2,106.4,O
11|16.0,101,4,,4.0,,39.6,53.1,X
11|17.0,31,3,,9.7,,61.0,122.4,O
11|2.0,1043,137,,13.1,,69.2,84.7,O
11|3.0,891,93,,10.4,,70.6,72.5,X
11|4.0,883,86,,9.7,,82.1,83.5,O
11|5.0,823,67,,8.1,,78.4,83.4,O
11|6.0,734,63,,8.6,,105.6,79.8,X
11|7.0,637,42,,6.6,,74.4,69.4,X
11|8.0,534,30,,5.6,,74.4,91.3,O
11|9.0,460,30,,6.5,,80.3,81.9,O
12|1.0,115,7,,6.1,,21.2,63.1,X
12|10.0,45,1,,2.2,,36.6,153.3,O
12|11.0,38,1,,2.6,,2.3,151.8,O
12|12.0,39,1,,2.6,,2.0,59.2,X
12|2.0,113,18,,15.9,,140.7,114.5,O
12|3.0,123,11,,8.9,,41.5,65.5,X
12|4.0,110,16,,14.5,,160.3,94.0,O
12|5.0,89,7,,7.9,,138.8,108.6,O
12|6.0,67,1,,1.5,,67.4,54.6,X
12|7.0,79,6,,7.6,,88.4,69.0,X
12|8.0,71,3,,4.2,,42.3,51.2,X
12|9.0,57,3,,5.3,,29.2,29.5,X
17|3.0,33,2,,6.1,,35.6,113.3,O
17|5.0,32,1,,3.1,,62.2,101.3,O
17|6.0,31,1,,3.2,,15.6,106.6,O
18|1.0,630,65,,10.3,,70.1,75.6,X
18|10.0,268,18,,6.7,,57.3,97.8,O
