bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|0,15256,1847,,12.1,,88.9,81.0,O
A|1,9429,905,,9.6,,78.5,78.0,X
A|2,25630,3213,,12.5,,78.5,80.2,O
A|3,767,88,,11.5,,101.6,74.6,X
A|5,23029,2707,,11.8,,78.1,79.1,X
A|6,442,57,,12.9,,95.5,77.0,X
B|0,8545,582,,6.8,,79.0,77.5,X
B|1,7040,519,,7.4,,74.3,78.7,X
B|2,10757,999,,9.3,,77.3,79.3,X
B|3,260,22,,8.5,,59.6,69.1,X
B|5,9834,889,,9.0,,86.3,82.4,O
B|6,91,9,,9.9,,59.0,65.0,X
C|0,7325,361,,4.9,,75.6,76.3,X
C|1,4774,346,,7.2,,85.0,78.0,X
C|2,5666,440,,7.8,,80.3,78.7,X
C|3,267,26,,9.7,,89.4,89.7,O
C|5,5553,475,,8.6,,86.5,81.2,O
C|6,31,4,,12.9,,179.9,42.6,X
D|0,6394,291,,4.6,,61.9,71.7,X
D|1,4578,315,,6.9,,81.1,76.6,X
D|2,4275,289,,6.8,,66.3,69.9,X
D|3,233,20,,8.6,,102.3,84.7,O
D|5,4539,363,,8.0,,75.6,78.4,X
D|6,73,4,,5.5,,61.1,54.3,X
E|0,1802,56,,3.1,,54.4,64.8,X
E|1,1471,91,,6.2,,79.7,81.6,O
E|2,994,74,,7.4,,123.5,95.2,O
E|3,44,4,,9.1,,51.6,97.9,O
E|5,1021,57,,5.6,,71.3,69.4,X
