bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,99231,4398,,4.4,,79.5,77.4,X
1.1,30,1,,3.3,,20.6,61.8,X
1.2,49,0,,0.0,,0.0,34.3,X
1.3,68,5,,7.4,,163.5,105.6,O
1.4,35,1,,2.9,,52.7,105.6,O
1.5,60,3,,5.0,,116.3,89.0,O
10.0,86,19,,22.1,,66.1,75.9,X
10.1,1423,125,,8.8,,76.4,83.4,O
10.2,170,5,,2.9,,43.7,75.2,X
10.3,688,46,,6.7,,89.2,81.0,O
10.4,201,9,,4.5,,74.5,76.8,X
10.5,169,23,,13.6,,70.8,77.4,X
10.6,296,67,,22.6,,66.8,77.0,X
10.7,193,47,,24.4,,83.6,83.8,O
10.8,960,131,,13.6,,104.7,79.8,X
10.9,1040,78,,7.5,,74.0,77.1,X
11.0,173,21,,12.1,,121.7,59.6,X
11.3,236,37,,15.7,,69.6,69.4,X
11.4,363,29,,8.0,,60.6,68.6,X
11.5,495,26,,5.3,,82.7,71.2,X
11.6,973,99,,10.2,,63.3,65.4,X
11.7,194,18,,9.3,,58.7,71.0,X
11.8,356,38,,10.7,,65.4,63.9,X
12.0,197,33,,16.8,,89.4,62.5,X
12.1,97,5,,5.2,,138.1,117.7,O
12.2,263,13,,4.9,,84.3,74.7,X
12.3,771,54,,7.0,,58.1,75.0,X
12.4,394,65,,16.5,,73.7,75.3,X
12.5,477,51,,10.7,,76.5,84.5,O
12.6,288,15,,5.2,,106.0,63.2,X
12.7,194,25,,12.9,,98.3,86.1,O
12.8,584,177,,30.3,,90.0,82.5,O
13.0,1324,265,,20.0,,64.0,75.4,X
13.1,298,35,,11.7,,139.0,68.7,X
13.2,211,6,,2.8,,64.1,49.5,X
13.3,52,8,,15.4,,93.4,56.6,X
13.4,580,75,,12.9,,75.7,74.2,X
13.5,394,37,,9.4,,91.1,82.9,O
13.7,340,26,,7.6,,107.5,90.7,O
13.8,1799,483,,26.8,,78.4,79.1,X
14.0,936,150,,16.0,,71.4,83.2,O
14.1,76,5,,6.6,,48.9,47.2,X
14.2,752,130,,17.3,,84.0,79.7,X
14.4,1066,87,,8.2,,82.7,78.1,X
14.5,216,26,,12.0,,70.2,105.8,O
14.6,30,3,,10.0,,70.2,47.6,X
14.7,56,2,,3.6,,270.0,173.2,O
14.9,129,10,,7.8,,61.3,55.4,X
15.0,1577,306,,19.4,,77.7,84.0,O
15.1,429,65,,15.2,,92.9,76.8,X
15.2,315,48,,15.2,,75.7,82.9,O
15.3,639,75,,11.7,,82.1,81.6,O
15.4,738,100,,13.6,,79.4,75.8,X
15.5,33,2,,6.1,,17.8,12.4,X
15.6,41,6,,14.6,,29.2,54.4,X
15.7,43,2,,4.7,,45.7,138.0,O
15.8,953,300,,31.5,,80.7,82.1,O
15.9,2125,762,,35.9,,78.9,87.4,O
16.0,68,4,,5.9,,54.6,55.1,X
16.2,2872,907,,31.6,,77.4,84.2,O
16.3,1369,183,,13.4,,79.6,79.6,X
16.4,221,28,,12.7,,89.0,81.0,O
16.5,430,25,,5.8,,48.6,65.1,X
16.6,46,2,,4.3,,32.4,65.8,X
16.7,46,8,,17.4,,81.0,78.7,X
16.8,171,50,,29.2,,113.6,98.5,O
17.0,84,12,,14.3,,81.6,63.9,X
17.1,99,3,,3.0,,109.7,82.8,O
17.2,116,21,,18.1,,75.7,92.1,O
17.3,1955,400,,20.5,,78.3,82.5,O
17.4,833,273,,32.8,,89.0,86.8,O
17.5,1068,109,,10.2,,85.2,79.7,X
17.7,2314,452,,19.5,,77.4,82.6,O
17.8,102,16,,15.7,,91.7,90.7,O
18.0,684,213,,31.1,,80.3,78.6,X
18.1,1630,626,,38.4,,81.9,85.2,O
18.2,84,15,,17.9,,88.5,71.3,X
18.4,125,15,,12.0,,67.8,87.9,O
18.5,134,10,,7.5,,147.1,120.5,O
18.6,180,20,,11.1,,99.8,75.2,X
18.7,512,61,,11.9,,73.7,72.9,X
18.8,1053,149,,14.2,,86.2,85.2,O
18.9,72,2,,2.8,,90.3,106.5,O
19.0,377,80,,21.2,,78.1,81.7,O
19.1,1701,274,,16.1,,85.9,80.9,O
19.6,565,118,,20.9,,107.4,81.5,O
19.8,959,182,,19.0,,74.0,82.7,O
2.4,46,1,,2.2,,16.7,49.3,X
2.7,45,2,,4.4,,28.9,73.0,X
20.0,221,17,,7.7,,89.3,86.8,O
20.1,66,7,,10.6,,91.1,73.2,X
20.2,607,63,,10.4,,69.3,77.5,X
20.3,50,5,,10.0,,83.2,59.4,X
20.5,210,29,,13.8,,77.5,83.8,O
20.6,1009,89,,8.8,,64.5,79.2,X
20.7,44,2,,4.5,,66.3,100.7,O
21.0,82,5,,6.1,,46.1,60.0,X
21.2,54,7,,13.0,,193.5,82.4,O
21.3,404,49,,12.1,,71.7,85.0,O
21.4,284,55,,19.4,,101.2,89.4,O
21.6,230,15,,6.5,,66.3,75.6,X
21.7,142,10,,7.0,,99.0,105.0,O
22.1,638,49,,7.7,,67.9,75.8,X
22.5,79,4,,5.1,,55.3,50.5,X
22.6,40,7,,17.5,,108.9,76.6,X
22.9,151,14,,9.3,,58.8,79.9,X
23.0,123,10,,8.1,,113.6,94.1,O
23.1,172,13,,7.6,,107.9,73.6,X
23.5,317,16,,5.0,,71.2,73.7,X
23.7,34,1,,2.9,,442.0,126.2,O
23.8,48,1,,2.1,,49.0,116.4,O
24.5,154,10,,6.5,,80.5,97.9,O
24.6,55,5,,9.1,,160.9,87.0,O
24.7,37,4,,10.8,,114.0,82.3,O
25.0,255,21,,8.2,,151.2,94.7,O
25.9,76,7,,9.2,,68.4,80.6,O
26.2,38,3,,7.9,,91.5,63.1,X
26.5,138,9,,6.5,,99.7,91.9,O
27.4,48,2,,4.2,,82.9,68.1,X
28.0,74,2,,2.7,,64.6,94.0,O
28.8,42,5,,11.9,,199.2,91.2,O
29.4,44,2,,4.5,,55.1,101.2,O
3.1,35,4,,11.4,,151.7,94.1,O
3.4,40,2,,5.0,,54.0,53.4,X
3.6,44,4,,9.1,,104.1,95.1,O
4.1,41,7,,17.1,,61.1,46.5,X
4.2,31,2,,6.5,,53.9,67.9,X
4.5,108,15,,13.9,,86.7,97.6,O
4.8,143,10,,7.0,,89.7,76.6,X
4.9,44,1,,2.3,,10.2,73.1,X
5.1,146,10,,6.8,,75.4,73.0,X
5.2,30,2,,6.7,,122.7,104.0,O
5.3,194,40,,20.6,,66.1,63.1,X
5.4,61,8,,13.1,,27.2,71.9,X
5.5,164,16,,9.8,,182.6,94.3,O
5.7,61,11,,18.0,,128.0,93.8,O
5.8,604,76,,12.6,,62.2,75.8,X
5.9,136,21,,15.4,,70.8,78.3,X
6.2,501,64,,12.8,,83.7,77.1,X
6.3,547,66,,12.1,,68.5,74.0,X
6.4,173,22,,12.7,,76.0,74.0,X
6.5,71,4,,5.6,,117.6,73.3,X
6.7,1030,155,,15.0,,74.7,73.6,X
6.8,450,43,,9.6,,69.5,74.5,X
6.9,385,52,,13.5,,83.6,78.1,X
7.1,60,5,,8.3,,90.8,66.5,X
7.2,905,71,,7.8,,75.2,76.0,X
7.3,645,87,,13.5,,59.5,79.8,X
7.4,119,4,,3.4,,17.9,66.3,X
7.5,328,43,,13.1,,66.1,70.3,X
7.6,72,11,,15.3,,144.6,89.3,O
7.7,714,54,,7.6,,100.5,83.0,O
7.8,268,22,,8.2,,62.3,82.0,O
7.9,909,179,,19.7,,80.2,84.1,O
8.0,380,90,,23.7,,70.7,81.2,O
8.1,576,115,,20.0,,90.6,82.5,O
8.2,799,59,,7.4,,81.5,79.5,X
8.3,120,4,,3.3,,65.7,98.1,O
8.4,148,12,,8.1,,89.8,78.4,X
8.5,312,26,,8.3,,67.1,79.3,X
8.6,1054,147,,13.9,,79.8,75.2,X
8.7,744,112,,15.1,,87.6,83.2,O
8.8,483,65,,13.5,,78.3,78.0,X
8.9,334,36,,10.8,,60.8,72.7,X
9.0,154,16,,10.4,,63.9,75.4,X
9.1,268,15,,5.6,,54.8,73.6,X
9.2,465,36,,7.7,,77.2,69.9,X
9.3,124,3,,2.4,,39.3,62.1,X
9.4,1473,209,,14.2,,81.2,80.9,O
9.6,931,89,,9.6,,70.2,82.7,O
9.7,208,16,,7.7,,74.6,93.9,O
9.8,335,34,,10.1,,97.7,78.2,X
9.9,63,7,,11.1,,29.6,72.9,X
