bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,6583,669,,10.2,,76.3,76.4,X
0|2,6463,843,,13.0,,82.4,80.2,O
0|3,6332,763,,12.0,,78.1,81.0,O
0|4,6244,788,,12.6,,91.4,81.5,O
0|5,5867,620,,10.6,,75.2,79.9,X
0|6,5442,545,,10.0,,75.7,77.4,X
0|7,4956,437,,8.8,,68.0,76.3,X
0|8,4388,381,,8.7,,82.2,83.2,O
1|1,4182,317,,7.6,,78.5,76.0,X
1|2,4148,400,,9.6,,74.9,84.1,O
1|3,4100,430,,10.5,,73.9,78.8,X
1|4,4030,429,,10.6,,82.5,85.7,O
1|5,3802,431,,11.3,,95.1,78.4,X
1|6,3526,352,,10.0,,74.0,80.5,O
1|7,3145,305,,9.7,,75.5,77.6,X
1|8,2734,249,,9.1,,68.2,77.0,X
2|1,2161,156,,7.2,,70.8,75.2,X
2|2,2139,199,,9.3,,81.4,77.4,X
2|3,2118,211,,10.0,,79.3,69.4,X
2|4,2096,240,,11.5,,77.6,81.0,O
2|5,1979,219,,11.1,,69.8,81.1,O
2|6,1825,192,,10.5,,78.2,72.6,X
2|7,1562,158,,10.1,,70.5,86.6,O
2|8,1307,104,,8.0,,66.9,65.7,X
3|1,1062,81,,7.6,,86.2,74.3,X
3|2,1036,81,,7.8,,59.4,70.7,X
3|3,1034,68,,6.6,,72.9,78.1,X
3|4,1014,103,,10.2,,122.2,81.8,O
3|5,988,86,,8.7,,59.1,81.2,O
3|6,928,92,,9.9,,93.9,86.5,O
3|7,874,82,,9.4,,102.2,91.0,O
3|8,761,73,,9.6,,96.8,85.9,O
9|1,1297,103,,7.9,,88.6,72.8,X
9|2,1271,120,,9.4,,68.5,74.0,X
9|3,1254,114,,9.1,,64.9,72.1,X
9|4,1232,128,,10.4,,79.2,82.3,O
9|5,1184,112,,9.5,,62.6,77.7,X
9|6,1181,119,,10.1,,85.2,84.8,O
9|7,1095,101,,9.2,,96.5,92.4,O
9|8,996,107,,10.7,,65.0,77.3,X
