bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|0,2796,51,,1.8,,73.9,77.5,X
10|1,1821,51,,2.8,,89.3,78.9,X
10|2,2493,76,,3.0,,94.0,76.1,X
10|3,90,3,,3.3,,109.9,87.1,O
10|5,2400,83,,3.5,,100.0,82.7,O
11|0,2191,41,,1.9,,72.2,77.1,X
11|1,1595,53,,3.3,,108.3,74.4,X
11|2,1810,43,,2.4,,86.0,75.4,X
11|3,57,3,,5.3,,295.7,120.1,O
11|5,1960,44,,2.2,,61.1,85.0,O
12|0,1758,28,,1.6,,77.9,72.3,X
12|1,1379,33,,2.4,,80.2,87.9,O
12|2,1449,35,,2.4,,78.2,73.6,X
12|3,58,2,,3.4,,235.4,83.9,O
12|5,1400,34,,2.4,,90.6,87.4,O
13|0,1241,20,,1.6,,80.4,89.4,O
13|1,1026,23,,2.2,,106.1,104.4,O
13|2,1029,21,,2.0,,98.3,82.8,O
13|3,31,0,,0.0,,0.0,8.6,X
13|5,1181,37,,3.1,,138.5,88.1,O
14|0,891,8,,0.9,,51.9,77.8,X
14|1,850,16,,1.9,,109.2,76.7,X
14|2,713,12,,1.7,,64.7,63.6,X
14|5,800,13,,1.6,,92.2,86.0,O
15|0,595,3,,0.5,,33.5,57.8,X
15|1,631,12,,1.9,,87.2,100.3,O
15|2,415,7,,1.7,,66.9,67.7,X
15|5,506,6,,1.2,,61.4,72.8,X
16|0,362,7,,1.9,,72.6,71.2,X
16|1,447,6,,1.3,,53.7,65.5,X
16|2,278,8,,2.9,,195.8,169.3,O
16|5,337,6,,1.8,,41.5,93.6,O
17|0,135,4,,3.0,,178.3,93.5,O
17|1,175,4,,2.3,,148.7,67.2,X
17|2,101,0,,0.0,,0.0,23.5,X
17|5,133,2,,1.5,,155.4,164.9,O
18|0,62,0,,0.0,,0.0,0.0,X
18|1,89,1,,1.1,,59.3,74.5,X
18|2,49,1,,2.0,,163.2,123.0,O
18|5,84,0,,0.0,,0.0,85.0,O
1|0,2682,942,,35.1,,87.7,87.7,O
1|1,2351,618,,26.3,,73.2,80.0,O
1|2,5552,1793,,32.3,,75.3,82.3,O
1|3,166,48,,28.9,,80.1,85.1,O
1|5,4892,1530,,31.3,,78.4,82.7,O
1|6,93,32,,34.4,,73.8,82.1,O
2|0,3141,605,,19.3,,82.9,82.1,O
2|1,2339,406,,17.4,,82.4,77.4,X
2|2,5180,1020,,19.7,,76.1,80.3,O
2|3,156,33,,21.2,,70.4,81.0,O
2|5,4799,891,,18.6,,78.0,83.9,O
2|6,78,8,,10.3,,30.8,70.9,X
3|0,3525,500,,14.2,,86.5,82.8,O
3|1,2357,320,,13.6,,80.6,80.0,O
3|2,5104,707,,13.9,,77.9,79.5,X
3|3,154,19,,12.3,,74.5,80.0,O
3|5,4450,601,,13.5,,76.4,79.0,X
3|6,72,11,,15.3,,95.1,86.4,O
4|0,3805,344,,9.0,,82.7,80.9,O
4|1,2423,219,,9.0,,73.2,76.2,X
4|2,4788,475,,9.9,,76.7,77.4,X
4|3,176,24,,13.6,,93.2,91.9,O
4|5,4370,409,,9.4,,74.5,78.2,X
4|6,61,7,,11.5,,92.8,80.9,O
5|0,4079,244,,6.0,,71.3,71.7,X
5|1,2383,166,,7.0,,77.5,75.8,X
5|2,4671,342,,7.3,,81.1,77.1,X
5|3,185,14,,7.6,,105.6,76.9,X
5|5,4181,335,,8.0,,85.8,77.7,X
5|6,61,8,,13.1,,176.3,105.1,O
6|0,4255,196,,4.6,,83.4,75.7,X
6|1,2394,133,,5.6,,80.6,69.4,X
6|2,4467,247,,5.5,,69.9,77.6,X
6|3,149,9,,6.0,,92.3,65.1,X
6|5,3997,219,,5.5,,69.7,74.4,X
6|6,71,8,,11.3,,187.2,96.6,O
7|0,4153,140,,3.4,,70.1,70.7,X
7|1,2346,95,,4.0,,60.9,78.0,X
7|2,4115,165,,4.0,,75.5,80.5,O
7|3,145,4,,2.8,,31.7,47.5,X
7|5,3893,171,,4.4,,82.1,74.9,X
7|6,44,0,,0.0,,0.0,45.5,X
8|0,3908,117,,3.0,,89.0,76.8,X
8|1,2285,84,,3.7,,61.3,69.1,X
8|2,3731,114,,3.1,,73.7,81.9,O
8|3,143,5,,3.5,,63.7,63.7,X
8|5,3316,144,,4.3,,82.5,81.6,O
8|6,39,2,,5.1,,236.5,91.7,O
9|0,3428,86,,2.5,,80.7,73.3,X
9|1,2072,49,,2.4,,59.8,75.7,X
9|2,3009,75,,2.5,,71.2,72.9,X
9|3,103,5,,4.9,,129.5,114.8,O
9|5,2955,91,,3.1,,83.3,71.3,X
9|6,38,1,,2.6,,114.9,47.2,X
