bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,15782,4981,,31.6,,77.7,82.8,O
10,9778,269,,2.8,,88.4,78.8,X
11,7776,190,,2.4,,87.5,79.3,X
12,6189,137,,2.2,,86.4,80.4,O
13,4605,103,,2.2,,101.4,88.3,O
14,3351,51,,1.5,,84.4,78.3,X
15,2220,30,,1.4,,66.2,75.8,X
16,1459,28,,1.9,,89.5,94.9,O
17,560,10,,1.8,,122.2,87.7,O
18,291,2,,0.7,,48.9,69.0,X
2,15780,2971,,18.8,,78.6,81.6,O
3,15800,2191,,13.9,,80.1,80.5,O
4,15786,1478,,9.4,,76.6,78.0,X
5,15739,1128,,7.2,,80.6,75.8,X
6,15546,821,,5.3,,75.7,74.5,X
7,14911,584,,3.9,,73.0,75.7,X
8,13621,467,,3.4,,77.1,77.1,X
9,11783,304,,2.6,,73.2,72.5,X
