bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1,175,6,,3.4,,102.6,89.8,O
10|2,109,3,,2.8,,77.6,91.8,O
10|3,246,2,,0.8,,10.0,55.8,X
11|1,148,3,,2.0,,101.2,73.6,X
11|2,105,5,,4.8,,95.6,83.3,O
11|3,229,10,,4.4,,139.7,91.1,O
12|1,119,5,,4.2,,192.8,79.3,X
12|2,81,1,,1.2,,15.2,51.5,X
12|3,193,3,,1.6,,73.8,93.6,O
13|1,76,0,,0.0,,0.0,64.1,X
13|2,73,2,,2.7,,193.8,114.3,O
13|3,147,3,,2.0,,55.2,68.0,X
14|1,67,1,,1.5,,33.4,42.6,X
14|2,64,1,,1.6,,31.5,44.4,X
14|3,120,2,,1.7,,152.4,85.0,O
15|1,38,1,,2.6,,298.7,83.8,O
15|2,43,1,,2.3,,361.5,159.2,O
15|3,60,2,,3.3,,194.6,177.5,O
16|3,40,0,,0.0,,0.0,0.0,X
1|1,128,37,,28.9,,81.7,86.7,O
1|2,68,24,,35.3,,96.1,90.4,O
1|3,114,25,,21.9,,67.8,73.7,X
2|1,155,25,,16.1,,75.7,74.7,X
2|2,75,15,,20.0,,80.3,75.1,X
2|3,119,22,,18.5,,79.4,79.5,X
3|1,147,16,,10.9,,56.7,79.7,X
3|2,94,14,,14.9,,93.7,74.3,X
3|3,145,24,,16.6,,84.9,71.8,X
3|9,34,3,,8.8,,62.2,93.4,O
4|1,186,22,,11.8,,75.3,64.1,X
4|2,93,9,,9.7,,91.5,75.7,X
4|3,169,19,,11.2,,82.3,76.8,X
4|4,30,6,,20.0,,186.1,86.1,O
4|9,33,6,,18.2,,143.8,69.9,X
5|1,210,15,,7.1,,64.2,72.9,X
5|2,123,8,,6.5,,42.5,61.0,X
5|3,208,19,,9.1,,94.8,80.2,O
5|9,36,2,,5.6,,133.0,61.5,X
6|1,184,9,,4.9,,51.3,72.4,X
6|2,111,8,,7.2,,65.9,64.3,X
6|3,233,11,,4.7,,61.6,70.1,X
6|9,39,1,,2.6,,17.3,41.6,X
7|1,221,6,,2.7,,36.5,50.5,X
7|2,130,6,,4.6,,60.8,52.8,X
7|3,248,6,,2.4,,58.5,72.9,X
7|9,31,0,,0.0,,0.0,14.1,X
8|1,191,5,,2.6,,81.7,79.3,X
8|2,142,7,,4.9,,88.3,66.3,X
8|3,249,7,,2.8,,83.4,56.3,X
8|9,36,0,,0.0,,0.0,58.6,X
9|1,175,2,,1.1,,47.1,50.6,X
9|2,112,5,,4.5,,162.4,57.2,X
9|3,238,9,,3.8,,72.3,67.6,X
9|4,37,0,,0.0,,0.0,66.3,X
9|9,36,0,,0.0,,0.0,41.5,X
