bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|A,734,23,,3.1,,86.7,84.0,O
10|B,860,20,,2.3,,83.1,70.8,X
10|C,465,10,,2.2,,51.3,68.7,X
10|D,211,0,,0.0,,0.0,43.3,X
10|S,413,10,,2.4,,59.5,84.9,O
11|A,595,25,,4.2,,134.2,97.7,O
11|B,654,18,,2.8,,101.1,93.8,O
11|C,469,15,,3.2,,95.5,85.9,O
11|D,178,3,,1.7,,14.1,54.6,X
11|S,308,4,,1.3,,34.4,89.9,O
12|A,500,17,,3.4,,118.4,70.1,X
12|B,541,11,,2.0,,78.6,78.4,X
12|C,393,9,,2.3,,106.2,88.1,O
12|D,176,2,,1.1,,94.8,60.1,X
12|S,191,4,,2.1,,87.9,86.2,O
13|A,344,9,,2.6,,70.1,85.6,O
13|B,413,15,,3.6,,133.5,99.3,O
13|C,363,6,,1.7,,98.8,98.9,O
13|D,130,1,,0.8,,7.8,47.7,X
13|S,151,5,,3.3,,146.9,82.9,O
14|A,249,8,,3.2,,181.6,85.1,O
14|B,309,5,,1.6,,55.9,78.5,X
14|C,314,1,,0.3,,22.9,74.3,X
14|D,115,0,,0.0,,0.0,142.9,O
14|S,86,1,,1.2,,36.2,51.6,X
15|A,170,3,,1.8,,36.1,88.7,O
15|B,191,6,,3.1,,157.0,95.7,O
15|C,225,3,,1.3,,63.2,117.6,O
15|D,63,1,,1.6,,153.2,114.4,O
15|S,52,0,,0.0,,0.0,97.8,O
16|A,102,4,,3.9,,119.8,81.1,O
16|B,113,2,,1.8,,28.8,66.0,X
16|C,148,2,,1.4,,38.1,126.3,O
16|D,46,3,,6.5,,200.7,56.0,X
16|S,30,1,,3.3,,14.8,15.0,X
17|C,39,1,,2.6,,89.0,48.5,X
1|A,932,260,,27.9,,78.8,79.5,X
1|B,475,126,,26.5,,68.5,75.7,X
1|C,151,35,,23.2,,71.4,68.2,X
1|D,35,9,,25.7,,74.8,93.0,O
1|S,2232,742,,33.2,,79.3,84.9,O
2|A,1102,191,,17.3,,72.6,80.2,O
2|B,629,99,,15.7,,71.0,80.4,O
2|C,219,34,,15.5,,92.9,76.7,X
2|D,53,3,,5.7,,55.2,84.2,O
2|S,1817,355,,19.5,,79.6,81.2,O
3|A,1183,155,,13.1,,77.6,80.6,O
3|B,699,94,,13.4,,81.6,84.7,O
3|C,288,27,,9.4,,53.4,68.3,X
3|D,93,11,,11.8,,98.5,94.7,O
3|S,1561,243,,15.6,,86.0,80.1,O
4|A,1181,99,,8.4,,68.6,74.8,X
4|B,846,75,,8.9,,83.6,77.9,X
4|C,320,26,,8.1,,53.8,84.1,O
4|D,110,11,,10.0,,122.8,75.3,X
4|S,1360,136,,10.0,,78.6,77.8,X
5|A,1237,91,,7.4,,85.1,74.0,X
5|B,918,59,,6.4,,73.9,67.6,X
5|C,350,17,,4.9,,39.0,64.4,X
5|D,126,7,,5.6,,68.8,60.5,X
5|S,1180,90,,7.6,,87.0,76.9,X
6|A,1171,73,,6.2,,101.3,76.3,X
6|B,930,38,,4.1,,56.8,59.8,X
6|C,432,25,,5.8,,76.2,85.7,O
6|D,170,11,,6.5,,85.5,71.3,X
6|S,1065,52,,4.9,,58.8,77.9,X
7|A,1142,47,,4.1,,57.2,69.2,X
7|B,1044,53,,5.1,,115.5,90.9,O
7|C,461,12,,2.6,,69.0,69.7,X
7|D,179,6,,3.4,,110.9,59.1,X
7|S,847,44,,5.2,,100.3,85.0,O
8|A,1044,39,,3.7,,63.5,82.9,O
8|B,1004,35,,3.5,,87.6,71.4,X
8|C,460,16,,3.5,,52.4,62.4,X
8|D,209,9,,4.3,,128.2,45.4,X
8|S,715,35,,4.9,,115.3,91.8,O
9|A,908,22,,2.4,,73.0,56.4,X
9|B,909,24,,2.6,,59.2,61.6,X
9|C,482,13,,2.7,,38.4,74.1,X
9|D,212,2,,0.9,,32.3,28.8,X
9|S,579,19,,3.3,,83.4,72.9,X
