bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|0,318,5,,1.6,,73.5,64.2,X
10|1,276,8,,2.9,,59.0,69.5,X
10|2,632,18,,2.8,,58.8,77.8,X
10|3,884,20,,2.3,,83.4,76.8,X
10|4,584,12,,2.1,,57.9,74.4,X
11|0,251,5,,2.0,,92.4,93.1,O
11|1,246,11,,4.5,,81.4,76.8,X
11|2,538,23,,4.3,,119.8,81.6,O
11|3,673,13,,1.9,,72.8,94.1,O
11|4,509,13,,2.6,,96.5,96.5,O
12|0,177,4,,2.3,,153.1,76.1,X
12|1,173,2,,1.2,,58.4,75.3,X
12|2,469,14,,3.0,,103.8,71.4,X
12|3,599,12,,2.0,,73.0,76.5,X
12|4,390,11,,2.8,,127.7,85.6,O
13|0,131,3,,2.3,,48.7,51.1,X
13|1,163,6,,3.7,,113.1,53.2,X
13|2,362,12,,3.3,,100.2,87.1,O
13|3,454,9,,2.0,,90.8,104.5,O
13|4,304,6,,2.0,,117.6,103.5,O
14|0,92,2,,2.2,,176.5,81.1,O
14|1,128,3,,2.3,,121.8,102.7,O
14|2,272,3,,1.1,,58.8,61.4,X
14|3,325,4,,1.2,,57.3,123.7,O
14|4,267,3,,1.1,,36.7,44.8,X
15|0,63,1,,1.6,,236.2,154.7,O
15|1,73,1,,1.4,,124.2,113.2,O
15|2,171,3,,1.8,,85.6,94.4,O
15|3,220,5,,2.3,,45.4,118.2,O
15|4,174,3,,1.7,,84.2,70.2,X
16|0,45,0,,0.0,,0.0,18.7,X
16|1,45,5,,11.1,,202.6,133.5,O
16|2,103,2,,1.9,,27.6,58.9,X
16|3,144,3,,2.1,,28.0,89.3,O
16|4,103,2,,1.9,,126.9,114.4,O
1|0,473,160,,33.8,,81.7,89.4,O
1|1,423,146,,34.5,,85.9,76.3,X
1|2,1198,356,,29.7,,74.1,79.6,X
1|3,1236,346,,28.0,,71.8,82.8,O
1|4,498,164,,32.9,,89.1,82.0,O
2|0,476,84,,17.6,,66.8,79.8,X
2|1,439,89,,20.3,,81.8,81.9,O
2|2,1119,204,,18.2,,78.2,83.6,O
2|3,1231,217,,17.6,,85.9,78.9,X
2|4,561,89,,15.9,,55.7,77.0,X
3|0,484,77,,15.9,,91.5,84.8,O
3|1,449,62,,13.8,,77.3,74.1,X
3|2,1097,180,,16.4,,87.6,84.6,O
3|3,1189,142,,11.9,,73.6,79.2,X
3|4,609,69,,11.3,,72.1,76.5,X
4|0,494,49,,9.9,,90.8,78.6,X
4|1,397,38,,9.6,,78.9,79.0,X
4|2,1044,91,,8.7,,73.3,73.4,X
4|3,1206,115,,9.5,,71.2,80.4,O
4|4,686,54,,7.9,,71.5,75.1,X
5|0,502,32,,6.4,,70.7,61.5,X
5|1,401,29,,7.2,,76.4,72.8,X
5|2,963,77,,8.0,,95.5,81.4,O
5|3,1234,83,,6.7,,76.1,75.9,X
5|4,719,45,,6.3,,66.4,60.0,X
6|0,506,26,,5.1,,120.7,75.3,X
6|1,401,34,,8.5,,100.8,71.3,X
6|2,959,47,,4.9,,60.2,77.1,X
6|3,1155,61,,5.3,,69.4,72.8,X
6|4,759,31,,4.1,,57.5,71.7,X
7|0,480,16,,3.3,,85.2,73.6,X
7|1,372,20,,5.4,,66.3,74.8,X
7|2,922,48,,5.2,,87.4,79.9,X
7|3,1164,56,,4.8,,107.7,79.9,X
7|4,748,23,,3.1,,64.0,78.5,X
8|0,436,15,,3.4,,85.9,84.3,O
8|1,308,13,,4.2,,129.6,97.2,O
8|2,835,48,,5.7,,114.0,77.0,X
8|3,1107,35,,3.2,,51.3,70.1,X
8|4,757,23,,3.0,,74.5,72.4,X
9|0,386,10,,2.6,,73.6,80.6,O
9|1,299,8,,2.7,,33.4,72.4,X
9|2,711,17,,2.4,,68.5,70.6,X
9|3,1026,32,,3.1,,82.6,56.1,X
9|4,682,15,,2.2,,46.5,50.8,X
