bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|111,37,0,,0.0,,0.0,42.3,X
10|122,33,1,,3.0,,46.7,99.3,O
10|211,101,6,,5.9,,123.6,89.0,O
10|22,61,1,,1.6,,108.8,43.2,X
10|221,169,2,,1.2,,72.7,39.0,X
10|222,3215,110,,3.4,,98.2,83.3,O
10|223,157,7,,4.5,,193.4,105.2,O
10|232,1540,40,,2.6,,75.4,82.9,O
10|233,1265,35,,2.8,,88.4,79.8,X
10|32,37,1,,2.7,,214.5,125.7,O
10|322,148,7,,4.7,,228.3,89.6,O
10|323,341,7,,2.1,,61.2,87.9,O
10|33,123,5,,4.1,,120.2,79.1,X
10|332,198,6,,3.0,,70.5,81.6,O
10|333,798,16,,2.0,,60.9,65.8,X
11|111,37,1,,2.7,,41.1,34.1,X
11|211,81,3,,3.7,,178.1,81.7,O
11|22,54,1,,1.9,,140.0,67.6,X
11|221,119,5,,4.2,,192.8,65.6,X
11|222,2593,68,,2.6,,83.0,88.2,O
11|223,149,4,,2.7,,91.2,94.8,O
11|232,1226,21,,1.7,,90.4,76.5,X
11|233,1103,35,,3.2,,99.6,74.7,X
11|32,30,1,,3.3,,132.4,35.1,X
11|322,118,3,,2.5,,83.1,53.5,X
11|323,231,3,,1.3,,96.4,59.7,X
11|33,84,0,,0.0,,0.0,119.2,O
11|332,137,3,,2.2,,42.8,52.3,X
11|333,628,19,,3.0,,77.9,88.0,O
12|211,78,1,,1.3,,15.6,33.2,X
12|22,44,1,,2.3,,41.8,35.6,X
12|221,108,0,,0.0,,0.0,24.8,X
12|222,1945,53,,2.7,,100.8,84.6,O
12|223,105,0,,0.0,,0.0,38.4,X
12|232,1031,28,,2.7,,88.5,95.2,O
12|233,911,18,,2.0,,82.8,83.8,O
12|322,106,1,,0.9,,47.6,84.6,O
12|323,171,1,,0.6,,41.9,59.4,X
12|33,73,0,,0.0,,0.0,41.7,X
12|332,131,5,,3.8,,129.3,108.2,O
12|333,527,11,,2.1,,115.9,75.2,X
13|211,42,3,,7.1,,100.8,106.4,O
13|221,82,1,,1.2,,60.7,116.0,O
13|222,1483,36,,2.4,,110.6,78.4,X
13|223,77,2,,2.6,,153.4,107.6,O
13|232,778,21,,2.7,,140.5,104.1,O
13|233,714,18,,2.5,,119.6,89.1,O
13|32,30,1,,3.3,,42.8,122.6,O
13|322,73,1,,1.4,,39.6,26.4,X
13|323,127,1,,0.8,,27.3,106.3,O
13|33,50,1,,2.0,,62.7,98.1,O
13|332,89,4,,4.5,,130.7,118.3,O
13|333,351,2,,0.6,,3.0,103.3,O
14|211,31,0,,0.0,,0.0,46.3,X
14|221,62,1,,1.6,,122.0,77.5,X
14|222,1142,18,,1.6,,87.4,58.7,X
14|223,49,0,,0.0,,0.0,55.7,X
14|232,556,10,,1.8,,125.0,88.4,O
14|233,526,7,,1.3,,66.4,109.9,O
14|322,41,0,,0.0,,0.0,110.1,O
14|323,104,3,,2.9,,195.4,118.3,O
14|332,77,1,,1.3,,13.2,64.2,X
14|333,263,5,,1.9,,92.8,69.0,X
15|221,40,0,,0.0,,0.0,112.7,O
15|222,716,12,,1.7,,84.9,71.6,X
15|223,35,0,,0.0,,0.0,88.3,O
15|232,378,7,,1.9,,67.2,82.3,O
15|233,368,4,,1.1,,25.1,71.7,X
15|322,33,0,,0.0,,0.0,113.1,O
15|323,74,0,,0.0,,0.0,112.5,O
15|332,41,2,,4.9,,75.3,19.0,X
15|333,174,2,,1.1,,132.0,108.5,O
16|222,500,9,,1.8,,82.2,80.1,O
16|232,264,8,,3.0,,146.5,105.7,O
16|233,240,3,,1.2,,23.8,65.6,X
16|323,44,0,,0.0,,0.0,185.3,O
16|332,30,1,,3.3,,283.5,205.7,O
16|333,99,3,,3.0,,46.7,25.2,X
17|222,198,5,,2.5,,192.7,58.2,X
17|232,99,0,,0.0,,0.0,138.2,O
17|233,74,3,,4.1,,180.6,71.4,X
17|333,43,0,,0.0,,0.0,293.6,O
18|222,92,0,,0.0,,0.0,56.1,X
18|232,57,0,,0.0,,0.0,81.1,O
18|233,46,0,,0.0,,0.0,96.9,O
18|333,31,0,,0.0,,0.0,72.6,X
1|111,42,14,,33.3,,82.1,105.5,O
1|121,44,16,,36.4,,78.9,69.4,X
1|122,72,21,,29.2,,63.3,76.7,X
1|132,34,10,,29.4,,71.2,95.8,O
1|211,140,41,,29.3,,77.6,84.6,O
1|22,181,58,,32.0,,76.6,89.0,O
1|221,277,82,,29.6,,70.0,85.6,O
1|222,5911,1846,,31.2,,76.5,82.6,O
1|223,383,151,,39.4,,95.8,84.5,O
1|232,2244,671,,29.9,,75.8,82.6,O
1|233,1508,438,,29.0,,79.0,81.2,O
1|32,110,33,,30.0,,69.3,79.3,X
1|322,274,72,,26.3,,59.7,71.0,X
1|323,598,181,,30.3,,73.4,81.5,O
1|33,178,52,,29.2,,78.3,81.3,O
1|332,320,98,,30.6,,73.5,82.6,O
1|333,1049,326,,31.1,,75.7,80.2,O
2|111,49,9,,18.4,,74.5,70.7,X
2|121,31,6,,19.4,,72.9,67.4,X
2|122,79,12,,15.2,,50.3,68.3,X
2|211,119,26,,21.8,,78.7,79.7,X
2|22,122,23,,18.9,,73.9,73.1,X
2|221,274,47,,17.2,,68.3,78.7,X
