bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,59,14,,23.7,,65.5,82.5,O
1|2,465,69,,14.8,,85.8,89.3,O
1|3,6422,400,,6.2,,85.7,78.0,X
1|4,166,3,,1.8,,100.8,44.3,X
2|1,32,9,,28.1,,97.0,89.5,O
2|2,149,23,,15.4,,60.6,73.9,X
2|3,3321,202,,6.1,,84.4,76.1,X
2|4,109,0,,0.0,,0.0,85.6,O
3|1,54,12,,22.2,,60.4,64.2,X
3|2,367,58,,15.8,,82.1,74.2,X
3|3,6975,362,,5.2,,72.0,74.4,X
3|4,282,2,,0.7,,9.3,42.1,X
4|2,64,8,,12.5,,100.9,57.6,X
4|3,979,62,,6.3,,102.7,75.6,X
4|4,33,0,,0.0,,0.0,0.0,X
9|2,51,9,,17.6,,165.4,76.9,X
9|3,788,39,,4.9,,43.4,58.4,X
9|4,42,0,,0.0,,0.0,6.8,X
