bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|01,9300,696,,7.5,,79.7,78.6,X
A|02,53,2,,3.8,,42.8,68.9,X
A|03,25994,2131,,8.2,,81.0,80.0,O
A|04,12619,1026,,8.1,,79.9,79.7,X
A|05,4630,361,,7.8,,69.4,75.5,X
A|06,664,36,,5.4,,56.7,88.1,O
A|07,3261,280,,8.6,,74.7,80.2,O
B|01,5665,341,,6.0,,77.0,78.8,X
B|02,34,2,,5.9,,35.7,155.9,O
B|03,14793,917,,6.2,,83.5,77.4,X
B|04,7225,403,,5.6,,81.2,73.2,X
B|05,2531,146,,5.8,,77.9,75.0,X
B|06,340,22,,6.5,,103.2,75.8,X
B|07,1823,111,,6.1,,73.3,77.4,X
C|01,4345,191,,4.4,,75.2,72.0,X
C|03,9637,461,,4.8,,77.0,76.5,X
C|04,4912,263,,5.4,,82.9,72.7,X
C|05,1783,81,,4.5,,76.0,82.0,O
C|06,249,11,,4.4,,52.4,81.5,O
C|07,1511,80,,5.3,,70.8,83.6,O
D|01,571,17,,3.0,,63.2,67.3,X
D|03,1434,45,,3.1,,36.9,62.8,X
D|04,664,23,,3.5,,64.2,72.4,X
D|05,219,7,,3.2,,132.0,85.3,O
D|06,31,1,,3.2,,35.4,94.3,O
D|07,146,8,,5.5,,54.7,55.3,X
S|01,8341,1071,,12.8,,78.8,78.6,X
S|02,31,2,,6.5,,83.5,43.9,X
S|03,27223,4027,,14.8,,81.3,78.9,X
S|04,12252,1744,,14.2,,82.4,83.6,O
S|05,4927,727,,14.8,,79.3,77.7,X
S|06,598,60,,10.0,,54.3,73.4,X
S|07,2853,428,,15.0,,81.3,83.6,O
S|11,52,11,,21.2,,79.4,75.2,X
