bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|01,4423,790,,17.9,,76.6,80.2,O
A|02,4827,656,,13.6,,84.3,84.0,O
A|03,5173,562,,10.9,,76.8,75.3,X
A|04,5269,488,,9.3,,75.5,79.7,X
A|05,5283,458,,8.7,,84.7,80.5,O
A|06,5089,318,,6.2,,69.4,76.3,X
A|07,4916,304,,6.2,,89.0,76.5,X
A|08,4257,230,,5.4,,70.9,76.0,X
A|09,3930,198,,5.0,,87.5,80.2,O
A|10,3252,142,,4.4,,74.6,79.7,X
A|11,2652,108,,4.1,,86.6,78.6,X
A|12,2232,82,,3.7,,65.2,82.2,O
A|13,1728,69,,4.0,,92.0,83.0,O
A|14,1362,54,,4.0,,76.3,84.6,O
A|15,976,36,,3.7,,84.1,99.6,O
A|16,706,26,,3.7,,79.1,86.5,O
A|17,320,8,,2.5,,30.2,52.3,X
A|18,154,5,,3.2,,41.2,65.0,X
B|01,1539,206,,13.4,,62.7,80.8,O
B|02,2063,260,,12.6,,94.1,78.3,X
B|03,2133,183,,8.6,,73.5,78.5,X
B|04,2430,217,,8.9,,93.2,78.4,X
B|05,2599,182,,7.0,,99.3,75.9,X
B|06,2815,140,,5.0,,73.0,76.0,X
B|07,2854,152,,5.3,,76.7,79.8,X
B|08,2770,136,,4.9,,80.0,73.8,X
B|09,2536,117,,4.6,,92.2,83.9,O
B|10,2351,80,,3.4,,54.7,65.5,X
B|11,2000,64,,3.2,,82.4,68.0,X
B|12,1725,72,,4.2,,100.6,79.2,X
B|13,1464,39,,2.7,,54.7,61.9,X
B|14,1154,45,,3.9,,110.1,101.8,O
B|15,890,23,,2.6,,65.2,80.0,O
B|16,669,16,,2.4,,67.6,79.3,X
B|17,255,8,,3.1,,78.4,55.1,X
B|18,184,4,,2.2,,116.6,61.4,X
C|01,817,99,,12.1,,64.2,75.6,X
C|02,1140,94,,8.2,,67.6,83.7,O
C|03,1378,114,,8.3,,76.5,70.8,X
C|04,1585,113,,7.1,,83.8,79.8,X
C|05,1673,110,,6.6,,77.9,82.7,O
C|06,1800,104,,5.8,,79.1,72.4,X
C|07,1863,73,,3.9,,68.8,66.3,X
C|08,1987,69,,3.5,,70.3,71.1,X
C|09,1805,65,,3.6,,78.1,73.5,X
C|10,1714,53,,3.1,,79.5,74.9,X
C|11,1591,51,,3.2,,94.6,85.3,O
C|12,1313,39,,3.0,,56.9,81.2,O
C|13,1202,34,,2.8,,93.1,79.0,X
C|14,931,25,,2.7,,92.7,78.9,X
C|15,735,24,,3.3,,88.7,73.2,X
C|16,550,15,,2.7,,79.1,72.3,X
C|17,221,4,,1.8,,41.4,59.0,X
C|18,165,1,,0.6,,30.0,78.5,X
D|01,81,8,,9.9,,40.0,68.4,X
D|02,138,7,,5.1,,34.9,74.3,X
D|03,131,10,,7.6,,97.5,71.1,X
D|04,173,13,,7.5,,39.3,82.8,O
D|05,211,16,,7.6,,139.7,88.0,O
D|06,234,4,,1.7,,24.0,48.8,X
D|07,227,5,,2.2,,23.2,53.9,X
D|08,275,6,,2.2,,25.0,69.6,X
D|09,229,11,,4.8,,190.7,96.9,O
D|10,228,1,,0.4,,1.2,54.0,X
D|11,214,3,,1.4,,33.6,78.0,X
D|12,244,5,,2.0,,49.8,57.1,X
D|13,189,4,,2.1,,102.8,79.1,X
D|14,169,3,,1.8,,18.5,48.4,X
D|15,157,2,,1.3,,24.0,60.3,X
D|16,109,3,,2.8,,26.7,46.6,X
D|17,31,0,,0.0,,0.0,60.6,X
S|01,8892,2319,,26.1,,78.6,82.6,O
S|02,7491,1490,,19.9,,81.2,80.7,O
S|03,6680,1089,,16.3,,79.3,84.3,O
S|04,5826,766,,13.1,,73.9,78.8,X
S|05,5156,624,,12.1,,83.4,80.4,O
S|06,4489,467,,10.4,,80.2,79.8,X
S|07,3755,354,,9.4,,96.7,80.4,O
S|08,3270,258,,7.9,,77.3,77.0,X
S|09,2666,208,,7.8,,82.0,75.5,X
S|10,2127,141,,6.6,,61.5,64.9,X
S|11,1675,113,,6.7,,74.9,78.3,X
S|12,1290,71,,5.5,,74.3,76.6,X
S|13,1036,62,,6.0,,107.6,86.1,O
S|14,791,34,,4.3,,73.5,65.8,X
S|15,503,31,,6.2,,111.8,98.6,O
S|16,378,26,,6.9,,122.6,73.8,X
S|17,161,13,,8.1,,140.2,91.8,O
S|18,91,4,,4.4,,95.0,83.1,O
