bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,3875,1311,,33.8,,78.8,83.7,O
1|2,2934,628,,21.4,,82.9,84.1,O
1|3,2368,362,,15.3,,74.9,79.9,X
1|4,1975,229,,11.6,,77.3,77.2,X
1|5,1627,156,,9.6,,72.1,72.1,X
1|6,1433,108,,7.5,,86.0,73.5,X
1|7,1130,76,,6.7,,87.8,76.2,X
2|1,2670,813,,30.4,,81.6,83.0,O
2|2,2605,514,,19.7,,82.6,83.6,O
2|3,2369,344,,14.5,,82.3,82.0,O
2|4,2142,251,,11.7,,83.9,79.9,X
2|5,1952,172,,8.8,,79.6,76.1,X
2|6,1770,110,,6.2,,74.3,81.5,O
2|7,1582,85,,5.4,,69.4,77.8,X
3|1,3079,910,,29.6,,78.3,85.1,O
3|2,2975,601,,20.2,,84.9,81.7,O
3|3,3049,386,,12.7,,75.1,78.6,X
3|4,2962,280,,9.5,,67.6,77.6,X
3|5,2836,223,,7.9,,80.0,78.1,X
3|6,2683,179,,6.7,,78.9,81.1,O
3|7,2328,111,,4.8,,78.3,71.7,X
5|1,3273,907,,27.7,,84.2,85.5,O
5|2,3516,632,,18.0,,82.3,82.7,O
5|3,3769,458,,12.2,,70.6,81.9,O
5|4,3823,358,,9.4,,73.0,77.6,X
5|5,3787,254,,6.7,,75.5,71.7,X
5|6,3677,203,,5.5,,88.2,80.6,O
5|7,3349,160,,4.8,,73.5,72.5,X
6|1,898,220,,24.5,,72.5,81.4,O
6|2,1156,183,,15.8,,79.0,80.5,O
6|3,1222,143,,11.7,,78.4,88.1,O
6|4,1389,129,,9.3,,97.4,80.6,O
6|5,1356,87,,6.4,,76.5,73.5,X
6|6,1277,66,,5.2,,78.3,72.0,X
6|7,1312,51,,3.9,,65.7,65.5,X
7|1,980,237,,24.2,,73.3,83.3,O
7|2,1103,163,,14.8,,73.4,81.0,O
7|3,1271,158,,12.4,,94.4,87.6,O
7|4,1406,118,,8.4,,69.1,76.5,X
7|5,1503,96,,6.4,,71.3,83.2,O
7|6,1460,66,,4.5,,63.0,73.1,X
7|7,1355,53,,3.9,,80.8,81.4,O
8|1,995,260,,26.1,,79.8,86.1,O
8|2,1474,216,,14.7,,68.7,75.9,X
8|3,1716,194,,11.3,,77.4,75.3,X
8|4,1991,149,,7.5,,79.5,79.7,X
8|5,2341,132,,5.6,,80.4,69.9,X
8|6,2386,112,,4.7,,92.4,78.2,X
8|7,2384,89,,3.7,,69.6,75.7,X
