bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1000|01,752,66,,8.8,,90.8,77.4,X
1000|03,1403,107,,7.6,,87.3,73.7,X
1000|04,559,39,,7.0,,50.8,63.9,X
1000|05,243,12,,4.9,,19.5,76.7,X
1000|07,199,14,,7.0,,58.3,84.0,O
1200|01,6545,475,,7.3,,76.5,81.5,O
1200|02,41,3,,7.3,,63.9,165.0,O
1200|03,16900,1491,,8.8,,79.3,78.9,X
1200|04,6703,540,,8.1,,80.4,75.6,X
1200|05,2887,225,,7.8,,86.3,78.1,X
1200|06,321,28,,8.7,,69.6,76.3,X
1200|07,1994,187,,9.4,,80.7,84.1,O
1400|01,3345,266,,8.0,,84.1,79.4,X
1400|03,8912,772,,8.7,,86.9,78.6,X
1400|04,3751,322,,8.6,,88.2,81.7,O
1400|05,1439,125,,8.7,,68.8,76.7,X
1400|06,266,21,,7.9,,103.0,95.4,O
1400|07,1018,118,,11.6,,92.0,80.1,O
1500|01,378,36,,9.5,,95.7,65.5,X
1500|03,890,89,,10.0,,72.6,84.8,O
1500|04,418,36,,8.6,,77.7,89.7,O
1500|05,153,20,,13.1,,116.9,67.1,X
1500|07,83,8,,9.6,,31.9,97.5,O
1600|01,5025,425,,8.5,,75.9,76.0,X
1600|03,14217,1380,,9.7,,77.7,79.6,X
1600|04,6628,635,,9.6,,80.3,81.6,O
1600|05,2532,237,,9.4,,71.0,80.4,O
1600|06,388,18,,4.6,,36.0,76.5,X
1600|07,1542,142,,9.2,,71.0,80.5,O
1800|01,4523,370,,8.2,,68.3,72.9,X
1800|03,13960,1424,,10.2,,81.6,76.7,X
1800|04,6990,673,,9.6,,85.9,77.8,X
1800|05,2722,285,,10.5,,77.1,75.4,X
1800|06,325,22,,6.8,,79.2,95.5,O
1800|07,1590,156,,9.8,,79.4,82.2,O
2000|01,5022,412,,8.2,,77.6,76.8,X
2000|02,33,0,,0.0,,0.0,60.5,X
2000|03,14847,1526,,10.3,,82.7,79.3,X
2000|04,8100,784,,9.7,,83.1,80.1,O
2000|05,2814,282,,10.0,,68.7,75.9,X
2000|06,393,21,,5.3,,41.0,59.2,X
2000|07,1912,171,,8.9,,72.0,74.2,X
2200|01,973,94,,9.7,,78.0,69.6,X
2200|03,3012,293,,9.7,,78.2,78.1,X
2200|04,1698,166,,9.8,,76.4,75.7,X
2200|05,540,59,,10.9,,98.0,82.3,O
2200|06,77,7,,9.1,,56.1,94.2,O
2200|07,462,39,,8.4,,77.5,83.0,O
2300|03,70,5,,7.1,,32.6,97.5,O
2300|04,44,7,,15.9,,91.4,98.3,O
2400|01,796,77,,9.7,,77.7,76.8,X
2400|03,2411,269,,11.2,,74.4,78.7,X
2400|04,1374,138,,10.0,,67.0,80.5,O
2400|05,376,38,,10.1,,87.3,74.8,X
2400|06,42,5,,11.9,,69.7,98.7,O
2400|07,331,32,,9.7,,58.5,95.0,O
2500|01,208,26,,12.5,,86.4,73.7,X
2500|03,494,47,,9.5,,63.8,57.0,X
2500|04,324,25,,7.7,,76.3,73.3,X
2500|05,86,10,,11.6,,67.4,71.0,X
2500|07,72,5,,6.9,,26.8,40.6,X
2600|01,559,55,,9.8,,122.3,95.9,O
2600|03,1737,159,,9.2,,82.0,77.2,X
2600|04,999,86,,8.6,,62.9,74.4,X
2600|05,253,20,,7.9,,54.8,63.5,X
2600|07,331,32,,9.7,,74.2,86.8,O
3000|01,64,8,,12.5,,69.4,67.4,X
3000|03,188,12,,6.4,,43.4,81.3,O
3000|04,82,5,,6.1,,24.7,55.2,X
3000|07,32,2,,6.2,,22.9,67.0,X
3200|03,32,6,,18.8,,42.1,70.5,X
3400|03,61,3,,4.9,,17.2,115.3,O
