bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|430,30,3,,10.0,,25.1,43.6,X
2|432,31,3,,9.7,,74.4,90.0,O
2|434,35,5,,14.3,,54.6,166.8,O
2|436,43,5,,11.6,,157.4,108.7,O
2|438,43,6,,14.0,,82.7,58.5,X
2|440,41,6,,14.6,,74.4,68.8,X
2|442,50,3,,6.0,,32.9,51.2,X
2|444,56,4,,7.1,,29.2,77.1,X
2|446,57,8,,14.0,,90.2,82.0,O
2|448,60,7,,11.7,,82.9,64.6,X
2|450,67,3,,4.5,,57.7,103.8,O
2|452,79,6,,7.6,,84.4,72.0,X
2|454,79,8,,10.1,,44.9,124.2,O
2|456,79,6,,7.6,,46.1,80.1,O
2|458,81,6,,7.4,,50.8,92.3,O
2|460,102,12,,11.8,,247.0,109.8,O
2|462,94,10,,10.6,,28.8,117.0,O
2|464,71,9,,12.7,,102.0,45.7,X
2|466,92,14,,15.2,,58.6,54.8,X
2|468,96,5,,5.2,,17.4,69.7,X
2|470,90,9,,10.0,,56.3,86.0,O
2|472,99,7,,7.1,,73.0,32.6,X
2|474,78,8,,10.3,,42.8,64.6,X
2|476,96,6,,6.2,,58.6,73.7,X
2|478,101,8,,7.9,,65.9,104.2,O
2|480,83,9,,10.8,,43.3,76.8,X
2|482,69,7,,10.1,,127.4,113.6,O
2|484,79,7,,8.9,,56.6,83.5,O
2|486,80,2,,2.5,,18.2,38.2,X
2|488,84,7,,8.3,,107.5,78.3,X
2|490,66,5,,7.6,,100.6,80.6,O
2|492,62,8,,12.9,,187.3,88.1,O
2|494,51,8,,15.7,,280.8,121.0,O
2|496,60,6,,10.0,,64.0,73.6,X
2|498,48,3,,6.2,,109.5,76.9,X
2|500,58,9,,15.5,,194.8,111.3,O
2|502,43,7,,16.3,,88.4,49.6,X
2|504,43,6,,14.0,,111.3,75.1,X
2|506,36,3,,8.3,,41.5,92.8,O
2|510,43,5,,11.6,,48.2,25.9,X
2|514,30,8,,26.7,,209.7,113.2,O
3|448,30,6,,20.0,,236.7,151.7,O
3|452,31,4,,12.9,,75.5,103.7,O
3|454,39,3,,7.7,,26.5,81.8,O
3|456,36,2,,5.6,,10.4,54.4,X
3|458,32,3,,9.4,,52.5,51.1,X
3|460,31,4,,12.9,,65.0,87.2,O
3|466,41,3,,7.3,,46.2,74.6,X
3|468,34,5,,14.7,,55.5,68.8,X
3|474,36,7,,19.4,,226.7,96.0,O
3|478,34,8,,23.5,,279.9,96.9,O
3|480,46,3,,6.5,,146.0,103.9,O
3|482,38,7,,18.4,,101.4,47.7,X
3|484,32,6,,18.8,,294.7,119.0,O
3|486,35,1,,2.9,,2.9,52.1,X
3|488,33,3,,9.1,,22.3,44.8,X
3|490,33,5,,15.2,,51.3,41.2,X
5|428,32,3,,9.4,,50.5,60.2,X
5|430,31,4,,12.9,,71.2,100.7,O
5|432,35,5,,14.3,,49.7,43.1,X
5|434,37,4,,10.8,,147.9,58.4,X
5|436,48,2,,4.2,,13.5,45.4,X
5|438,35,2,,5.7,,96.5,58.1,X
5|440,45,10,,22.2,,136.7,94.8,O
5|442,51,2,,3.9,,36.8,53.4,X
5|444,56,3,,5.4,,15.9,46.0,X
5|446,46,2,,4.3,,128.1,54.0,X
5|448,50,3,,6.0,,18.7,41.2,X
5|450,54,2,,3.7,,10.8,115.5,O
5|452,56,3,,5.4,,46.1,52.2,X
5|454,47,3,,6.4,,54.4,88.4,O
5|456,53,3,,5.7,,21.5,72.6,X
5|458,51,2,,3.9,,6.2,105.0,O
5|460,63,3,,4.8,,34.8,89.6,O
5|462,66,4,,6.1,,27.9,73.4,X
5|464,55,2,,3.6,,23.3,74.5,X
5|466,69,9,,13.0,,86.0,88.1,O
5|468,63,7,,11.1,,67.8,92.3,O
5|470,60,7,,11.7,,77.7,61.0,X
5|472,56,5,,8.9,,51.0,61.3,X
5|474,57,6,,10.5,,99.1,80.3,O
5|476,59,7,,11.9,,127.2,73.7,X
5|478,71,8,,11.3,,172.9,118.6,O
5|480,73,8,,11.0,,100.6,64.0,X
5|482,56,4,,7.1,,110.6,105.7,O
5|484,49,5,,10.2,,107.3,117.7,O
5|486,42,3,,7.1,,42.6,89.6,O
5|488,40,0,,0.0,,0.0,52.0,X
5|490,56,5,,8.9,,76.3,88.7,O
5|492,42,1,,2.4,,5.8,111.0,O
5|494,43,3,,7.0,,64.4,63.3,X
5|496,36,1,,2.8,,3.0,73.4,X
5|498,46,6,,13.0,,92.1,76.7,X
5|500,33,0,,0.0,,0.0,68.6,X
