bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1.0,224,64,,28.6,,76.4,84.8,O
1|2.0,1056,351,,33.2,,85.9,85.0,O
1|3.0,368,95,,25.8,,78.5,81.2,O
1|4.0,134,38,,28.4,,61.7,83.0,O
1|5.0,81,16,,19.8,,96.2,96.6,O
1|6.0,39,6,,15.4,,25.9,61.0,X
2|1.0,2077,500,,24.1,,83.4,85.1,O
2|10.0,213,26,,12.2,,155.7,109.1,O
2|11.0,156,18,,11.5,,91.6,101.2,O
2|12.0,123,19,,15.4,,147.2,85.6,O
2|13.0,115,12,,10.4,,67.2,114.5,O
2|14.0,94,12,,12.8,,109.7,53.3,X
2|15.0,83,6,,7.2,,39.6,76.6,X
2|16.0,33,3,,9.1,,93.8,71.2,X
2|2.0,4042,1055,,26.1,,78.4,81.4,O
2|3.0,2337,478,,20.5,,78.3,78.1,X
2|4.0,1326,221,,16.7,,65.2,74.2,X
2|5.0,887,163,,18.4,,89.2,79.6,X
2|6.0,593,83,,14.0,,66.9,76.1,X
2|7.0,387,49,,12.7,,69.1,80.2,O
2|8.0,316,34,,10.8,,67.5,85.8,O
2|9.0,224,35,,15.6,,134.3,86.1,O
3|1.0,13823,1487,,10.8,,80.2,78.7,X
3|10.0,6761,304,,4.5,,81.9,84.5,O
3|11.0,5700,267,,4.7,,89.3,86.1,O
3|12.0,4762,175,,3.7,,74.1,78.9,X
3|13.0,3967,169,,4.3,,84.9,74.5,X
3|14.0,3102,121,,3.9,,91.8,86.4,O
3|15.0,2341,84,,3.6,,66.9,72.0,X
3|16.0,1796,57,,3.2,,91.0,68.1,X
3|17.0,628,32,,5.1,,94.9,85.7,O
3|18.0,371,21,,5.7,,74.6,81.8,O
3|2.0,10097,1557,,15.4,,72.2,76.5,X
3|3.0,12272,1458,,11.9,,75.0,76.5,X
3|4.0,13118,1264,,9.6,,76.8,77.2,X
3|5.0,12942,974,,7.5,,74.0,77.7,X
3|6.0,11867,820,,6.9,,80.4,77.5,X
3|7.0,10687,637,,6.0,,87.4,81.0,O
3|8.0,9497,490,,5.2,,72.6,74.4,X
3|9.0,8081,413,,5.1,,84.2,82.1,O
4|1.0,119,4,,3.4,,53.6,51.0,X
4|10.0,187,5,,2.7,,32.0,53.4,X
4|11.0,161,4,,2.5,,108.4,97.2,O
4|12.0,144,3,,2.1,,165.6,111.5,O
4|13.0,136,3,,2.2,,94.0,85.9,O
4|14.0,116,3,,2.6,,71.5,75.7,X
4|15.0,98,0,,0.0,,0.0,24.9,X
4|16.0,64,1,,1.6,,10.8,78.3,X
4|3.0,33,5,,15.2,,156.6,92.2,O
4|4.0,41,3,,7.3,,47.6,43.6,X
4|5.0,44,1,,2.3,,42.7,79.0,X
4|6.0,100,1,,1.0,,36.9,98.4,O
4|7.0,149,7,,4.7,,60.2,47.3,X
4|8.0,168,2,,1.2,,53.4,71.2,X
4|9.0,196,8,,4.1,,60.5,79.1,X
