bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|0,1656,227,,13.7,,74.6,74.1,X
1.0|1,315,57,,18.1,,85.3,81.9,O
1.0|2,543,108,,19.9,,64.3,77.9,X
1.0|3,894,151,,16.9,,91.5,83.5,O
1.0|4,397,33,,8.3,,74.2,65.6,X
10.0|0,86,3,,3.5,,184.1,128.7,O
2.0|0,1626,246,,15.1,,86.8,78.0,X
2.0|1,328,66,,20.1,,87.4,66.1,X
2.0|2,578,167,,28.9,,94.1,86.9,O
2.0|3,923,210,,22.8,,92.0,89.5,O
2.0|4,323,33,,10.2,,89.4,82.9,O
3.0|0,1688,230,,13.6,,77.2,78.4,X
3.0|1,323,51,,15.8,,74.2,82.3,O
3.0|2,596,173,,29.0,,89.7,84.9,O
3.0|3,820,160,,19.5,,84.4,82.8,O
3.0|4,388,37,,9.5,,57.9,74.6,X
4.0|0,6120,394,,6.4,,72.9,78.2,X
4.0|1,1229,95,,7.7,,74.6,77.7,X
4.0|2,839,91,,10.8,,55.4,75.8,X
4.0|3,1953,168,,8.6,,78.6,76.5,X
4.0|4,1984,93,,4.7,,86.9,77.1,X
5.0|0,4336,229,,5.3,,73.0,74.2,X
5.0|1,821,64,,7.8,,89.9,72.8,X
5.0|2,518,48,,9.3,,109.6,73.3,X
5.0|3,1168,87,,7.4,,64.9,71.7,X
5.0|4,1537,61,,4.0,,91.6,71.7,X
6.0|0,4134,172,,4.2,,73.3,76.6,X
6.0|1,743,42,,5.7,,88.1,74.3,X
6.0|2,440,36,,8.2,,98.3,81.9,O
6.0|3,993,69,,6.9,,74.1,69.8,X
6.0|4,1468,48,,3.3,,68.1,83.0,O
7.0|0,1361,62,,4.6,,108.0,86.4,O
7.0|1,249,15,,6.0,,68.8,94.1,O
7.0|2,123,9,,7.3,,62.2,79.7,X
7.0|3,315,22,,7.0,,86.7,65.9,X
7.0|4,570,14,,2.5,,44.3,85.2,O
8.0|0,489,21,,4.3,,94.7,84.8,O
8.0|1,82,6,,7.3,,302.8,112.1,O
8.0|2,47,3,,6.4,,36.9,109.4,O
8.0|3,90,6,,6.7,,124.5,164.3,O
8.0|4,135,4,,3.0,,183.1,123.6,O
9.0|0,179,5,,2.8,,80.7,89.2,O
9.0|1,34,1,,2.9,,5.5,61.6,X
9.0|3,42,0,,0.0,,0.0,92.9,O
9.0|4,49,1,,2.0,,128.8,86.0,O
