bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
13.0|5,31,4,,12.9,,101.5,83.4,O
13.0|6,49,5,,10.2,,130.8,93.5,O
14.0|2,34,5,,14.7,,494.1,132.9,O
14.0|4,40,5,,12.5,,83.6,48.1,X
14.0|5,36,3,,8.3,,31.4,127.7,O
14.0|6,33,1,,3.0,,8.6,248.1,O
15.0|1,40,9,,22.5,,88.8,64.8,X
15.0|2,33,4,,12.1,,64.1,52.4,X
15.0|3,43,7,,16.3,,66.9,88.1,O
15.0|4,47,7,,14.9,,194.1,103.1,O
15.0|5,48,4,,8.3,,41.5,37.5,X
15.0|6,38,2,,5.3,,46.4,102.2,O
16.0|2,37,5,,13.5,,47.6,49.7,X
16.0|3,51,11,,21.6,,186.7,134.1,O
16.0|4,56,5,,8.9,,55.1,83.5,O
16.0|5,43,2,,4.7,,88.7,48.8,X
16.0|6,65,2,,3.1,,16.5,51.7,X
17.0|1,49,8,,16.3,,47.8,106.1,O
17.0|2,63,10,,15.9,,81.5,88.3,O
17.0|3,67,10,,14.9,,97.2,57.4,X
17.0|4,61,10,,16.4,,207.9,107.6,O
17.0|5,48,5,,10.4,,154.7,87.6,O
17.0|6,62,5,,8.1,,118.1,70.5,X
18.0|1,51,14,,27.5,,166.1,113.0,O
18.0|2,77,17,,22.1,,100.9,79.3,X
18.0|3,71,12,,16.9,,99.4,87.6,O
18.0|4,84,7,,8.3,,52.2,59.9,X
18.0|5,83,2,,2.4,,15.7,65.2,X
18.0|6,75,6,,8.0,,87.5,47.7,X
19.0|1,70,10,,14.3,,64.0,80.2,O
19.0|2,87,15,,17.2,,95.6,94.7,O
19.0|3,86,11,,12.8,,47.0,109.5,O
19.0|4,111,8,,7.2,,50.8,89.4,O
19.0|5,91,9,,9.9,,84.9,125.9,O
19.0|6,93,4,,4.3,,55.7,113.7,O
20.0|1,77,12,,15.6,,78.8,99.5,O
20.0|2,108,16,,14.8,,46.5,77.1,X
20.0|3,123,17,,13.8,,65.3,98.0,O
20.0|4,130,11,,8.5,,61.5,82.2,O
20.0|5,106,7,,6.6,,39.4,89.3,O
20.0|6,115,6,,5.2,,65.8,81.8,O
21.0|1,83,14,,16.9,,58.4,68.1,X
21.0|2,141,19,,13.5,,80.0,81.1,O
21.0|3,142,22,,15.5,,98.5,75.5,X
21.0|4,163,23,,14.1,,100.8,81.3,O
21.0|5,142,6,,4.2,,22.1,67.2,X
21.0|6,131,10,,7.6,,53.8,70.1,X
22.0|1,114,19,,16.7,,45.7,75.5,X
22.0|2,148,21,,14.2,,83.7,74.5,X
22.0|3,171,33,,19.3,,125.8,92.9,O
22.0|4,152,9,,5.9,,29.0,63.3,X
22.0|5,160,24,,15.0,,99.8,92.9,O
22.0|6,144,5,,3.5,,26.4,80.5,O
23.0|1,154,38,,24.7,,106.5,86.3,O
23.0|2,165,26,,15.8,,87.6,78.2,X
23.0|3,194,35,,18.0,,108.7,74.6,X
23.0|4,196,23,,11.7,,133.5,87.3,O
