bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|11,58,11,,19.0,,118.8,68.5,X
01|111,33,3,,9.1,,23.7,45.1,X
01|121,252,16,,6.3,,71.3,89.0,O
01|122,490,34,,6.9,,49.6,84.7,O
01|132,471,43,,9.1,,159.4,81.8,O
01|133,459,38,,8.3,,72.8,71.5,X
01|2,37,3,,8.1,,92.8,65.7,X
01|21,554,42,,7.6,,73.7,79.8,X
01|211,85,5,,5.9,,13.5,44.3,X
01|212,56,4,,7.1,,55.5,57.2,X
01|213,38,7,,18.4,,74.6,83.5,O
01|22,302,23,,7.6,,79.8,75.0,X
01|221,210,13,,6.2,,46.4,97.4,O
01|222,541,50,,9.2,,83.7,71.0,X
01|223,57,8,,14.0,,126.8,113.6,O
01|232,429,37,,8.6,,72.7,77.2,X
01|233,552,52,,9.4,,60.8,75.3,X
01|32,961,64,,6.7,,59.8,71.2,X
01|321,53,7,,13.2,,47.8,92.4,O
01|322,146,13,,8.9,,176.4,76.7,X
01|323,123,7,,5.7,,86.0,78.3,X
01|33,287,14,,4.9,,55.4,62.1,X
01|332,60,5,,8.3,,69.7,81.0,O
01|333,50,6,,12.0,,331.0,137.4,O
03|11,152,13,,8.6,,61.8,74.9,X
03|111,166,16,,9.6,,84.4,71.7,X
03|121,541,42,,7.8,,62.1,57.0,X
03|122,1212,106,,8.7,,60.9,66.2,X
03|132,999,86,,8.6,,83.2,86.2,O
03|133,1029,75,,7.3,,55.8,76.8,X
03|2,113,12,,10.6,,79.9,66.9,X
03|21,1303,118,,9.1,,71.9,75.2,X
03|211,252,33,,13.1,,82.7,98.9,O
03|212,107,12,,11.2,,103.1,57.3,X
03|213,119,8,,6.7,,60.0,75.1,X
03|22,788,86,,10.9,,112.0,93.9,O
03|221,687,56,,8.2,,69.3,74.9,X
03|222,1842,166,,9.0,,71.1,75.9,X
03|223,116,14,,12.1,,56.3,80.1,O
03|232,1565,139,,8.9,,89.0,85.8,O
03|233,1736,161,,9.3,,90.4,81.4,O
03|32,1971,182,,9.2,,86.4,81.3,O
03|321,111,9,,8.1,,47.8,63.6,X
03|322,383,43,,11.2,,96.8,80.9,O
03|323,315,23,,7.3,,59.6,110.0,O
03|33,501,35,,7.0,,113.2,76.5,X
03|332,233,24,,10.3,,119.1,87.9,O
03|333,130,4,,3.1,,16.2,58.9,X
04|11,101,7,,6.9,,24.3,46.8,X
04|111,72,11,,15.3,,164.1,85.3,O
04|121,291,27,,9.3,,110.9,87.4,O
04|122,576,48,,8.3,,85.1,75.2,X
04|132,450,37,,8.2,,51.2,65.9,X
04|133,424,36,,8.5,,113.3,85.6,O
04|2,46,4,,8.7,,130.0,63.9,X
04|21,727,67,,9.2,,70.5,75.6,X
04|211,108,12,,11.1,,109.1,83.6,O
04|212,81,10,,12.3,,106.4,79.6,X
04|213,58,6,,10.3,,93.6,64.2,X
04|22,469,36,,7.7,,85.3,87.6,O
04|221,342,35,,10.2,,85.3,87.6,O
04|222,846,81,,9.6,,61.9,76.7,X
04|223,90,4,,4.4,,17.0,73.8,X
04|232,646,50,,7.7,,46.1,70.2,X
04|233,849,76,,9.0,,84.6,68.6,X
04|32,1014,67,,6.6,,58.1,68.9,X
04|321,65,8,,12.3,,107.1,125.9,O
04|322,113,16,,14.2,,52.6,73.8,X
04|323,157,10,,6.4,,56.9,67.8,X
04|33,279,18,,6.5,,42.6,55.6,X
04|332,101,7,,6.9,,18.2,93.0,O
04|333,77,9,,11.7,,77.0,67.2,X
05|111,41,3,,7.3,,38.2,92.9,O
05|121,75,6,,8.0,,62.9,67.4,X
05|122,237,25,,10.5,,102.5,69.2,X
05|132,192,20,,10.4,,223.6,130.5,O
05|133,183,12,,6.6,,57.5,79.9,X
05|21,207,36,,17.4,,128.1,85.7,O
05|213,42,4,,9.5,,91.2,73.7,X
05|22,131,11,,8.4,,51.0,59.6,X
05|221,108,10,,9.3,,91.0,86.2,O
05|222,322,24,,7.5,,48.3,65.2,X
05|232,203,18,,8.9,,75.9,60.1,X
05|233,296,18,,6.1,,87.6,70.7,X
05|32,340,18,,5.3,,49.5,57.8,X
05|322,71,6,,8.5,,46.0,87.5,O
05|323,58,4,,6.9,,33.4,81.8,O
05|33,132,7,,5.3,,67.6,147.8,O
05|333,36,5,,13.9,,81.8,60.5,X
06|122,44,1,,2.3,,6.5,113.7,O
06|133,32,4,,12.5,,179.4,89.6,O
06|21,32,2,,6.2,,46.9,51.3,X
06|22,30,1,,3.3,,84.7,53.6,X
06|32,46,1,,2.2,,51.5,64.4,X
07|121,105,11,,10.5,,69.3,110.7,O
07|122,166,15,,9.0,,73.9,84.0,O
07|132,144,7,,4.9,,48.3,67.9,X
07|133,143,14,,9.8,,59.4,84.5,O
07|21,223,17,,7.6,,60.0,68.5,X
07|22,107,7,,6.5,,42.2,89.1,O
07|221,82,13,,15.9,,64.4,100.2,O
07|222,162,15,,9.3,,34.9,80.7,O
07|232,197,18,,9.1,,88.0,95.8,O
07|233,263,19,,7.2,,53.4,88.1,O
07|32,266,18,,6.8,,75.0,83.8,O
07|322,42,8,,19.0,,83.0,62.6,X
07|323,49,2,,4.1,,113.8,94.8,O
07|33,42,3,,7.1,,112.9,51.7,X
