bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10.0|1,71,20,,28.2,,92.8,78.7,X
10.0|2,60,5,,8.3,,17.9,62.8,X
10.0|3,57,9,,15.8,,84.0,91.8,O
10.0|4,71,5,,7.0,,56.2,62.6,X
10.0|5,95,7,,7.4,,97.0,70.9,X
10.0|6,98,5,,5.1,,51.5,67.2,X
10.0|7,66,4,,6.1,,125.8,80.4,O
11.0|1,72,25,,34.7,,95.0,65.0,X
11.0|2,73,9,,12.3,,69.9,100.5,O
11.0|3,62,5,,8.1,,48.4,72.5,X
11.0|4,56,6,,10.7,,131.8,81.4,O
11.0|5,74,5,,6.8,,67.3,137.0,O
11.0|6,57,2,,3.5,,56.4,65.9,X
11.0|7,73,4,,5.5,,183.8,141.8,O
14.0|1,34,11,,32.4,,82.6,67.9,X
14.0|2,47,3,,6.4,,16.2,57.1,X
14.0|3,42,1,,2.4,,1.9,54.5,X
14.0|4,48,3,,6.2,,85.2,61.0,X
14.0|5,49,3,,6.1,,95.0,69.5,X
14.0|6,41,4,,9.8,,105.7,75.8,X
14.0|7,40,2,,5.0,,126.2,82.7,O
15.0|1,58,13,,22.4,,93.9,85.2,O
15.0|2,76,15,,19.7,,85.1,83.7,O
15.0|3,76,9,,11.8,,64.8,49.0,X
15.0|4,93,10,,10.8,,90.3,57.2,X
15.0|5,82,3,,3.7,,58.6,77.2,X
15.0|6,84,8,,9.5,,98.2,102.6,O
15.0|7,79,4,,5.1,,151.1,105.3,O
16.0|1,90,33,,36.7,,73.2,82.6,O
16.0|2,113,18,,15.9,,56.5,87.9,O
16.0|3,99,17,,17.2,,109.6,95.9,O
16.0|4,108,9,,8.3,,37.2,66.0,X
16.0|5,123,11,,8.9,,98.3,61.1,X
16.0|6,111,7,,6.3,,90.1,58.3,X
16.0|7,125,2,,1.6,,13.9,101.3,O
17.0|1,125,33,,26.4,,48.8,76.1,X
17.0|2,129,21,,16.3,,77.9,81.1,O
17.0|3,128,18,,14.1,,111.1,77.6,X
17.0|4,114,12,,10.5,,96.5,63.8,X
17.0|5,119,9,,7.6,,85.7,77.1,X
17.0|6,121,7,,5.8,,56.7,78.6,X
17.0|7,120,4,,3.3,,69.6,41.5,X
18.0|1,91,22,,24.2,,74.6,85.3,O
18.0|2,102,23,,22.5,,114.0,98.3,O
18.0|3,114,19,,16.7,,87.7,81.9,O
18.0|4,129,14,,10.9,,72.2,70.6,X
18.0|5,118,8,,6.8,,65.3,104.3,O
18.0|6,119,6,,5.0,,74.1,80.7,O
18.0|7,105,6,,5.7,,97.9,63.0,X
19.0|1,40,9,,22.5,,68.7,75.3,X
19.0|2,51,13,,25.5,,117.4,85.5,O
19.0|3,33,4,,12.1,,38.6,77.0,X
19.0|4,30,3,,10.0,,63.9,90.7,O
19.0|5,42,6,,14.3,,152.1,74.9,X
19.0|6,42,4,,9.5,,120.4,50.4,X
19.0|7,38,3,,7.9,,173.9,83.8,O
21.0|1,69,29,,42.0,,105.5,86.1,O
21.0|2,57,11,,19.3,,109.3,95.9,O
21.0|3,77,10,,13.0,,53.8,63.4,X
21.0|4,47,3,,6.4,,95.3,84.5,O
21.0|5,60,3,,5.0,,39.0,34.2,X
21.0|6,59,4,,6.8,,61.1,102.6,O
21.0|7,33,1,,3.0,,27.1,106.8,O
22.0|1,119,39,,32.8,,85.2,80.3,O
22.0|2,119,27,,22.7,,97.8,87.9,O
22.0|3,103,16,,15.5,,102.0,63.0,X
22.0|4,104,14,,13.5,,88.1,82.0,O
22.0|5,112,10,,8.9,,78.1,82.0,O
22.0|6,105,4,,3.8,,31.2,67.4,X
22.0|7,112,10,,8.9,,113.4,80.0,O
23.0|1,152,45,,29.6,,61.8,81.1,O
23.0|2,130,29,,22.3,,87.8,86.2,O
23.0|3,138,17,,12.3,,63.8,89.6,O
23.0|4,150,19,,12.7,,82.9,60.3,X
