bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
380|01,39,5,,12.8,,59.3,106.4,O
380|02,69,7,,10.1,,105.6,79.0,X
380|03,65,7,,10.8,,72.9,62.7,X
380|04,80,3,,3.8,,25.0,46.1,X
380|05,86,6,,7.0,,150.7,117.3,O
380|06,85,0,,0.0,,0.0,63.2,X
380|07,78,2,,2.6,,66.0,74.5,X
380|08,91,2,,2.2,,50.9,84.5,O
380|09,82,3,,3.7,,24.8,104.5,O
380|10,71,1,,1.4,,9.3,16.7,X
380|11,65,3,,4.6,,96.9,48.1,X
380|12,50,1,,2.0,,24.7,56.1,X
380|13,42,0,,0.0,,0.0,7.2,X
380|14,34,1,,2.9,,17.9,57.8,X
380|15,35,0,,0.0,,0.0,32.9,X
400|01,355,67,,18.9,,89.5,78.3,X
400|02,469,57,,12.2,,76.9,78.1,X
400|03,499,53,,10.6,,54.7,67.8,X
400|04,530,49,,9.2,,103.5,78.4,X
400|05,556,51,,9.2,,102.1,83.4,O
400|06,546,25,,4.6,,72.4,72.9,X
400|07,553,30,,5.4,,126.7,78.1,X
400|08,485,24,,4.9,,97.3,69.8,X
400|09,447,17,,3.8,,83.8,94.6,O
400|10,381,12,,3.1,,62.5,72.5,X
400|11,339,16,,4.7,,104.4,63.8,X
400|12,293,4,,1.4,,27.0,70.7,X
400|13,246,6,,2.4,,97.1,59.5,X
400|14,201,7,,3.5,,81.0,86.0,O
400|15,166,7,,4.2,,179.6,88.4,O
400|16,123,1,,0.8,,8.8,51.7,X
400|17,35,1,,2.9,,6.3,2.9,X
400|18,30,0,,0.0,,0.0,62.8,X
420|01,1438,290,,20.2,,65.0,81.7,O
420|02,1595,216,,13.5,,77.9,72.9,X
420|03,1570,156,,9.9,,71.1,78.5,X
420|04,1689,155,,9.2,,71.1,81.7,O
420|05,1716,150,,8.7,,84.2,74.7,X
420|06,1706,109,,6.4,,65.2,73.5,X
420|07,1556,81,,5.2,,75.9,83.9,O
420|08,1476,77,,5.2,,70.0,72.0,X
420|09,1276,65,,5.1,,93.7,75.4,X
420|10,1103,44,,4.0,,54.7,76.5,X
420|11,915,25,,2.7,,65.5,62.0,X
420|12,757,21,,2.8,,24.3,56.6,X
420|13,649,21,,3.2,,94.0,80.1,O
420|14,487,17,,3.5,,91.2,93.2,O
420|15,370,10,,2.7,,68.9,80.3,O
420|16,266,9,,3.4,,80.5,88.8,O
420|17,109,4,,3.7,,73.9,104.3,O
420|18,80,2,,2.5,,28.2,66.5,X
440|01,2978,613,,20.6,,71.8,82.4,O
440|02,3062,439,,14.3,,73.7,77.2,X
440|03,3144,379,,12.1,,93.4,79.6,X
440|04,3068,287,,9.4,,65.6,80.8,O
440|05,2999,240,,8.0,,71.7,76.5,X
440|06,2956,209,,7.1,,80.0,81.1,O
440|07,2725,163,,6.0,,77.4,77.8,X
440|08,2555,131,,5.1,,72.3,78.6,X
440|09,2101,103,,4.9,,100.5,84.0,O
440|10,1872,75,,4.0,,80.1,76.4,X
440|11,1603,65,,4.1,,89.7,85.2,O
440|12,1296,65,,5.0,,102.0,87.0,O
440|13,1068,27,,2.5,,44.5,82.0,O
440|14,837,29,,3.5,,93.2,82.4,O
440|15,594,16,,2.7,,59.0,91.2,O
440|16,432,13,,3.0,,122.1,116.0,O
440|17,197,3,,1.5,,13.6,50.0,X
440|18,102,3,,2.9,,96.4,72.7,X
460|01,3875,860,,22.2,,76.4,80.7,O
460|02,3777,608,,16.1,,84.7,84.0,O
460|03,3716,474,,12.8,,70.5,80.4,O
460|04,3642,371,,10.2,,71.6,76.8,X
460|05,3460,325,,9.4,,92.7,79.0,X
460|06,3343,260,,7.8,,76.4,79.1,X
460|07,3118,199,,6.4,,83.4,75.6,X
460|08,2888,156,,5.4,,74.0,75.7,X
460|09,2670,163,,6.1,,95.9,81.6,O
460|10,2166,96,,4.4,,64.0,65.6,X
460|11,1834,87,,4.7,,103.1,80.3,O
460|12,1482,59,,4.0,,63.5,80.5,O
460|13,1208,52,,4.3,,102.4,74.9,X
460|14,911,28,,3.1,,81.0,79.5,X
460|15,661,20,,3.0,,47.1,84.6,O
460|16,480,15,,3.1,,85.0,86.2,O
460|17,209,6,,2.9,,63.3,45.9,X
460|18,110,3,,2.7,,92.2,62.4,X
480|01,3006,701,,23.3,,82.6,83.4,O
480|02,2814,514,,18.3,,88.5,84.8,O
480|03,2770,375,,13.5,,73.2,79.2,X
480|04,2648,306,,11.6,,82.5,80.4,O
480|05,2526,272,,10.8,,96.5,85.7,O
480|06,2375,181,,7.6,,67.9,70.4,X
480|07,2289,164,,7.2,,82.6,78.0,X
480|08,2117,128,,6.0,,72.6,76.7,X
480|09,1910,100,,5.2,,75.7,76.4,X
480|10,1692,84,,5.0,,65.2,77.5,X
480|11,1389,60,,4.3,,67.0,79.8,X
480|12,1196,53,,4.4,,100.2,86.4,O
480|13,931,36,,3.9,,61.7,76.0,X
480|14,737,30,,4.1,,98.6,87.6,O
480|15,511,19,,3.7,,78.7,87.2,O
480|16,358,12,,3.4,,63.2,50.6,X
480|17,129,7,,5.4,,66.2,82.3,O
480|18,87,0,,0.0,,0.0,50.4,X
500|01,1540,339,,22.0,,69.6,80.8,O
500|02,1461,256,,17.5,,81.1,88.8,O
500|03,1359,193,,14.2,,93.2,81.5,O
500|04,1259,156,,12.4,,104.7,77.4,X
500|05,1255,134,,10.7,,81.9,79.1,X
500|06,1129,82,,7.3,,65.3,74.9,X
500|07,1120,91,,8.1,,94.7,74.6,X
500|08,1007,68,,6.8,,69.7,70.2,X
500|09,919,57,,6.2,,102.2,80.6,O
500|10,793,31,,3.9,,56.3,72.2,X
500|11,662,28,,4.2,,81.0,77.8,X
500|12,566,18,,3.2,,50.2,87.6,O
500|13,463,17,,3.7,,70.1,76.9,X
500|14,352,16,,4.5,,142.4,96.8,O
500|15,269,14,,5.2,,126.8,93.3,O
500|16,196,11,,5.6,,88.4,58.7,X
500|17,75,2,,2.7,,13.4,35.3,X
500|18,57,0,,0.0,,0.0,65.2,X
520|01,448,104,,23.2,,86.3,78.6,X
520|02,381,81,,21.3,,96.9,85.7,O
520|03,362,47,,13.0,,63.6,76.1,X
520|04,376,42,,11.2,,72.7,75.6,X
520|05,380,42,,11.1,,101.6,94.9,O
520|06,398,32,,8.0,,110.2,79.6,X
520|07,366,24,,6.6,,50.3,77.6,X
520|08,303,21,,6.9,,74.8,58.1,X
520|09,267,23,,8.6,,131.4,84.4,O
520|10,263,11,,4.2,,107.0,68.9,X
520|11,188,8,,4.3,,88.5,83.8,O
520|12,154,5,,3.2,,21.2,46.9,X
520|13,130,7,,5.4,,235.3,107.0,O
520|14,98,4,,4.1,,197.6,70.6,X
520|15,70,1,,1.4,,6.2,59.0,X
520|16,76,2,,2.6,,46.4,60.3,X
540|01,91,20,,22.0,,64.2,93.9,O
540|02,62,9,,14.5,,72.0,72.5,X
540|03,74,18,,24.3,,113.7,100.2,O
540|04,71,9,,12.7,,101.4,78.6,X
540|05,62,3,,4.8,,19.4,85.8,O
540|06,78,7,,9.0,,169.4,116.6,O
540|07,70,4,,5.7,,40.9,59.2,X
540|08,54,4,,7.4,,114.4,72.0,X
540|09,52,2,,3.8,,2.8,49.9,X
540|10,53,2,,3.8,,8.3,24.2,X
