bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00,2130,155,,7.3,,88.9,79.3,X
01,13324,1403,,10.5,,79.2,76.3,X
02,17853,2075,,11.6,,85.1,82.6,O
03,15148,1687,,11.1,,77.0,79.3,X
04,12748,1341,,10.5,,77.8,80.1,O
05,12345,1305,,10.6,,77.3,79.9,X
06,11078,1036,,9.4,,75.5,78.9,X
07,11535,1005,,8.7,,73.3,77.6,X
08,9894,789,,8.0,,82.6,77.6,X
09,8826,698,,7.9,,83.1,76.9,X
10,7798,573,,7.3,,77.5,76.7,X
11,6764,461,,6.8,,74.3,76.5,X
12,5502,314,,5.7,,65.0,75.1,X
13,4661,295,,6.3,,77.6,77.5,X
14,3512,238,,6.8,,104.1,80.5,O
15,2677,151,,5.6,,85.9,86.8,O
16,1742,110,,6.3,,92.8,79.7,X
17,733,32,,4.4,,58.1,64.4,X
18,392,18,,4.6,,47.8,72.3,X
