bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1-3|1.0,5559,709,,12.8,,83.2,78.2,X
1-3|10.0,1801,114,,6.3,,88.7,83.0,O
1-3|11.0,1608,121,,7.5,,81.2,81.6,O
1-3|12.0,1339,95,,7.1,,74.5,80.6,O
1-3|13.0,1136,65,,5.7,,83.0,84.5,O
1-3|14.0,907,53,,5.8,,59.1,79.0,X
1-3|15.0,804,48,,6.0,,88.0,86.6,O
1-3|16.0,575,35,,6.1,,88.5,78.5,X
1-3|17.0,204,14,,6.9,,54.1,64.4,X
1-3|18.0,132,11,,8.3,,105.2,72.4,X
1-3|2.0,5825,969,,16.6,,84.3,79.5,X
1-3|3.0,4895,659,,13.5,,76.3,76.1,X
1-3|4.0,4229,457,,10.8,,75.2,77.7,X
1-3|5.0,3622,386,,10.7,,83.7,83.6,O
1-3|6.0,3195,298,,9.3,,84.9,78.9,X
1-3|7.0,2774,233,,8.4,,82.9,84.1,O
1-3|8.0,2377,190,,8.0,,85.1,85.0,O
1-3|9.0,2163,155,,7.2,,88.7,80.1,O
10+|1.0,2933,302,,10.3,,93.3,72.5,X
10+|10.0,1825,81,,4.4,,60.8,82.6,O
10+|11.0,1556,59,,3.8,,90.7,78.5,X
10+|12.0,1310,45,,3.4,,78.2,99.1,O
10+|13.0,1083,33,,3.0,,59.8,72.8,X
10+|14.0,843,21,,2.5,,35.9,58.4,X
10+|15.0,623,16,,2.6,,63.9,85.2,O
10+|16.0,456,16,,3.5,,74.3,80.0,O
10+|17.0,167,6,,3.6,,62.1,56.1,X
10+|18.0,87,2,,2.3,,26.5,93.5,O
10+|2.0,2070,274,,13.2,,72.3,74.5,X
10+|3.0,2433,236,,9.7,,67.9,72.3,X
10+|4.0,2652,224,,8.4,,95.7,80.7,O
10+|5.0,2829,168,,5.9,,82.6,80.8,O
10+|6.0,2736,179,,6.5,,107.1,74.4,X
10+|7.0,2589,130,,5.0,,66.8,79.6,X
10+|8.0,2388,107,,4.5,,62.2,68.8,X
10+|9.0,2012,88,,4.4,,75.8,85.9,O
4-6|1.0,3976,438,,11.0,,62.4,75.8,X
4-6|10.0,1426,95,,6.7,,81.8,77.3,X
4-6|11.0,1118,56,,5.0,,69.7,74.6,X
4-6|12.0,944,59,,6.2,,79.7,84.3,O
4-6|13.0,705,40,,5.7,,53.7,74.5,X
4-6|14.0,635,34,,5.4,,61.9,82.4,O
4-6|15.0,427,32,,7.5,,100.8,75.5,X
4-6|16.0,296,19,,6.4,,128.8,114.7,O
4-6|17.0,105,9,,8.6,,200.1,81.9,O
4-6|18.0,64,2,,3.1,,90.6,85.9,O
4-6|2.0,3914,632,,16.1,,72.4,79.6,X
4-6|3.0,3689,480,,13.0,,78.1,82.2,O
4-6|4.0,3394,414,,12.2,,86.9,79.2,X
4-6|5.0,3007,247,,8.2,,74.1,78.0,X
4-6|6.0,2594,210,,8.1,,70.9,79.8,X
4-6|7.0,2251,160,,7.1,,82.6,84.6,O
4-6|8.0,1942,131,,6.7,,81.5,81.2,O
4-6|9.0,1715,128,,7.5,,80.7,75.8,X
7-9|1.0,3018,319,,10.6,,63.5,79.7,X
7-9|10.0,1358,69,,5.1,,90.5,70.1,X
7-9|11.0,1051,62,,5.9,,97.6,79.7,X
7-9|12.0,933,45,,4.8,,131.9,87.8,O
7-9|13.0,740,49,,6.6,,122.8,102.6,O
7-9|14.0,552,20,,3.6,,76.3,83.8,O
7-9|15.0,405,12,,3.0,,16.0,57.0,X
7-9|16.0,287,11,,3.8,,85.3,86.3,O
7-9|17.0,96,7,,7.3,,106.9,110.1,O
7-9|18.0,64,4,,6.2,,175.9,54.9,X
7-9|2.0,2584,338,,13.1,,55.3,71.3,X
7-9|3.0,2656,305,,11.5,,73.4,76.4,X
7-9|4.0,2734,273,,10.0,,80.4,79.2,X
7-9|5.0,2593,189,,7.3,,82.2,74.3,X
7-9|6.0,2367,163,,6.9,,67.9,78.8,X
7-9|7.0,2119,141,,6.7,,102.9,88.4,O
7-9|8.0,1910,87,,4.6,,67.5,74.7,X
7-9|9.0,1601,94,,5.9,,94.3,76.2,X
