bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00|千歳,55,8,,14.5,,172.8,118.6,O
00|安平,72,3,,4.2,,87.0,61.3,X
00|新ひだか,267,19,,7.1,,46.4,57.3,X
00|新冠,197,15,,7.6,,56.3,68.9,X
00|日高,179,11,,6.1,,107.3,109.9,O
00|浦河,263,17,,6.5,,75.1,75.1,X
01|千歳,292,39,,13.4,,87.9,84.5,O
01|安平,453,46,,10.2,,72.8,73.2,X
01|平取,54,4,,7.4,,31.0,107.5,O
01|新ひだか,749,65,,8.7,,50.5,67.1,X
01|新冠,620,58,,9.4,,72.9,78.1,X
01|日高,527,57,,10.8,,79.6,76.4,X
01|浦河,518,60,,11.6,,117.2,77.7,X
01|白老,67,9,,13.4,,92.3,48.7,X
01|米,70,15,,21.4,,139.3,88.7,O
02|むかわ,38,3,,7.9,,38.0,40.1,X
02|千歳,404,38,,9.4,,59.7,76.8,X
02|安平,746,111,,14.9,,67.5,72.4,X
02|平取,81,11,,13.6,,67.9,60.6,X
02|愛,32,5,,15.6,,67.9,85.9,O
02|新ひだか,895,105,,11.7,,95.1,86.2,O
02|新冠,753,80,,10.6,,101.1,77.0,X
02|日高,643,66,,10.3,,96.3,91.0,O
02|洞爺湖,53,10,,18.9,,84.5,58.5,X
02|浦河,676,88,,13.0,,105.3,86.5,O
02|白老,139,16,,11.5,,63.8,79.6,X
02|米,70,11,,15.7,,110.2,68.5,X
03|むかわ,34,2,,5.9,,19.2,100.8,O
03|千歳,337,30,,8.9,,56.2,62.3,X
03|安平,621,79,,12.7,,78.1,77.9,X
03|平取,61,3,,4.9,,18.2,36.0,X
03|新ひだか,678,64,,9.4,,64.5,80.0,O
03|新冠,611,54,,8.8,,66.7,81.7,O
03|日高,521,45,,8.6,,75.5,73.0,X
03|洞爺湖,39,5,,12.8,,141.0,95.7,O
03|浦河,563,61,,10.8,,99.0,75.3,X
03|白老,126,14,,11.1,,72.0,67.3,X
03|米,51,2,,3.9,,4.0,54.1,X
04|千歳,306,32,,10.5,,55.5,68.1,X
04|安平,571,67,,11.7,,87.7,67.1,X
04|平取,55,4,,7.3,,33.1,66.1,X
04|新ひだか,565,48,,8.5,,92.7,73.0,X
04|新冠,485,44,,9.1,,83.1,86.8,O
04|日高,398,31,,7.8,,55.4,89.1,O
04|浦河,447,43,,9.6,,87.1,73.4,X
04|白老,110,15,,13.6,,99.8,106.8,O
04|米,30,5,,16.7,,141.1,142.6,O
05|千歳,313,38,,12.1,,73.2,76.8,X
05|安平,568,80,,14.1,,62.3,82.8,O
05|平取,53,3,,5.7,,31.1,61.5,X
05|新ひだか,569,46,,8.1,,85.3,75.9,X
05|新冠,457,43,,9.4,,125.9,86.0,O
05|日高,411,25,,6.1,,32.5,56.1,X
05|浦河,442,31,,7.0,,91.0,83.3,O
05|白老,120,16,,13.3,,71.8,81.7,O
05|米,33,4,,12.1,,57.1,36.5,X
06|千歳,284,30,,10.6,,70.6,74.0,X
06|安平,552,66,,12.0,,77.5,85.4,O
06|平取,34,3,,8.8,,33.6,15.0,X
06|新ひだか,493,42,,8.5,,89.1,80.1,O
06|新冠,412,35,,8.5,,114.3,87.4,O
06|日高,345,26,,7.5,,105.3,76.0,X
06|洞爺湖,34,3,,8.8,,30.5,67.3,X
06|浦河,390,36,,9.2,,77.7,80.1,O
06|白老,84,7,,8.3,,36.2,54.3,X
06|米,35,4,,11.4,,81.8,60.8,X
07|千歳,294,28,,9.5,,90.4,87.1,O
07|安平,497,61,,12.3,,92.2,73.9,X
07|平取,55,5,,9.1,,55.0,38.1,X
07|新ひだか,511,29,,5.7,,39.9,64.5,X
07|新冠,381,28,,7.3,,70.3,102.7,O
07|日高,352,23,,6.5,,80.6,75.1,X
07|浦河,428,29,,6.8,,73.3,72.1,X
07|白老,104,7,,6.7,,13.3,51.7,X
07|米,36,4,,11.1,,90.2,51.0,X
08|千歳,243,21,,8.6,,51.5,68.9,X
08|安平,454,44,,9.7,,90.4,83.2,O
08|平取,44,4,,9.1,,263.2,69.4,X
08|新ひだか,458,42,,9.2,,178.9,102.4,O
08|新冠,384,23,,6.0,,66.5,90.5,O
08|日高,320,22,,6.9,,84.0,66.3,X
08|浦河,369,19,,5.1,,40.6,73.3,X
08|白老,101,9,,8.9,,162.0,91.5,O
09|千歳,217,23,,10.6,,172.0,108.6,O
09|安平,390,43,,11.0,,104.2,70.3,X
09|平取,43,3,,7.0,,102.0,64.4,X
09|新ひだか,429,21,,4.9,,68.5,80.0,O
09|新冠,322,22,,6.8,,46.6,80.2,O
09|日高,264,21,,8.0,,73.0,77.8,X
09|浦河,336,15,,4.5,,49.1,84.2,O
09|白老,71,8,,11.3,,114.5,54.9,X
10|千歳,197,7,,3.6,,63.9,81.9,O
10|安平,343,38,,11.1,,69.1,76.5,X
10|平取,38,1,,2.6,,27.5,73.8,X
10|新ひだか,373,16,,4.3,,39.2,69.3,X
10|新冠,300,12,,4.0,,108.5,93.2,O
10|日高,265,22,,8.3,,52.6,59.8,X
10|浦河,288,15,,5.2,,62.8,84.9,O
10|白老,86,8,,9.3,,91.3,114.5,O
11|千歳,190,11,,5.8,,139.5,110.4,O
11|安平,311,22,,7.1,,80.4,61.5,X
11|新ひだか,334,18,,5.4,,46.6,62.5,X
11|新冠,256,15,,5.9,,58.0,60.3,X
11|日高,231,16,,6.9,,41.1,68.0,X
11|浦河,265,11,,4.2,,31.7,90.9,O
11|白老,67,3,,4.5,,15.4,52.6,X
12|千歳,153,9,,5.9,,150.8,108.9,O
12|安平,215,18,,8.4,,43.1,65.8,X
12|新ひだか,253,7,,2.8,,22.1,46.5,X
12|新冠,218,9,,4.1,,74.8,84.1,O
12|日高,191,11,,5.8,,37.2,52.2,X
