bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01,3483,299,,8.6,,72.9,74.1,X
02,5072,432,,8.5,,72.0,76.0,X
03,4601,363,,7.9,,84.2,78.8,X
04,5120,415,,8.1,,77.8,78.6,X
05,6064,613,,10.1,,79.5,78.3,X
06,4130,315,,7.6,,65.1,73.1,X
07,2503,236,,9.4,,72.9,75.5,X
08,1888,196,,10.4,,88.9,82.6,O
09,2622,260,,9.9,,94.7,81.4,O
10,2351,188,,8.0,,78.0,81.8,O
30,126,6,,4.8,,146.6,102.4,O
35,69,3,,4.3,,112.9,127.5,O
45,31,1,,3.2,,199.1,110.7,O
47,42,1,,2.4,,14.9,18.2,X
48,37,1,,2.7,,64.1,20.5,X
50,52,0,,0.0,,0.0,68.0,X
