bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,30,4,,13.3,,99.9,86.2,O
0|2,83,10,,12.0,,58.3,52.5,X
0|3,109,10,,9.2,,68.7,86.6,O
0|4,36,6,,16.7,,54.6,63.1,X
1|1,12659,1233,,9.7,,78.8,76.3,X
1|2,654,56,,8.6,,64.1,69.9,X
1|3,312,27,,8.7,,52.1,63.9,X
1|4,157,11,,7.0,,91.7,67.7,X
2|1,3816,437,,11.5,,88.5,78.6,X
2|2,27917,3220,,11.5,,79.4,81.3,O
2|3,12280,1380,,11.2,,81.7,80.9,O
2|4,2055,199,,9.7,,77.3,78.7,X
3|1,253,21,,8.3,,100.9,113.9,O
3|2,12940,1230,,9.5,,83.7,80.6,O
3|3,30390,2758,,9.1,,76.0,79.9,X
3|4,9622,776,,8.1,,78.1,74.3,X
4|1,93,3,,3.2,,95.8,43.7,X
4|2,1953,126,,6.5,,93.5,81.7,O
4|3,12069,880,,7.3,,81.4,79.6,X
4|4,21233,1299,,6.1,,75.4,74.2,X
