bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,36,11,,30.6,,87.0,94.6,O
0|2,37,10,,27.0,,105.2,79.3,X
1|1,1207,344,,28.5,,81.8,81.3,O
1|2,1321,246,,18.6,,72.7,77.6,X
1|3,1246,186,,14.9,,88.3,76.3,X
1|4,1359,147,,10.8,,86.1,73.2,X
1|5,1289,109,,8.5,,76.1,67.4,X
1|6,1211,67,,5.5,,52.1,57.3,X
2|1,5465,1643,,30.1,,80.0,84.7,O
2|2,5050,1049,,20.8,,82.8,83.3,O
2|3,4932,703,,14.3,,74.2,79.4,X
2|4,4651,531,,11.4,,81.3,81.2,O
2|5,4316,352,,8.2,,76.8,83.5,O
2|6,3881,266,,6.9,,78.6,79.1,X
3|1,4998,1377,,27.6,,77.1,82.4,O
3|2,5084,919,,18.1,,81.3,83.5,O
3|3,4880,662,,13.6,,75.8,80.4,O
3|4,4848,458,,9.4,,72.9,80.8,O
3|5,4852,365,,7.5,,77.3,73.8,X
3|6,4526,228,,5.0,,60.0,71.6,X
4|1,2082,532,,25.6,,76.6,81.5,O
4|2,2269,380,,16.7,,72.0,80.3,O
4|3,2638,288,,10.9,,67.0,73.8,X
4|4,2800,247,,8.8,,80.9,69.3,X
4|5,2961,181,,6.1,,65.8,70.9,X
4|6,3215,156,,4.9,,68.5,85.8,O
