bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|1,326,97,,29.8,,78.6,80.7,O
1.0|2,289,66,,22.8,,102.4,90.8,O
1.0|3,234,33,,14.1,,82.1,78.2,X
1.0|4,229,27,,11.8,,83.6,78.4,X
1.0|5,216,20,,9.3,,89.7,84.2,O
1.0|6,213,13,,6.1,,50.4,54.9,X
1.0|7,195,11,,5.6,,90.1,88.0,O
10.0|1,68,10,,14.7,,50.9,76.2,X
10.0|2,108,16,,14.8,,63.6,73.5,X
10.0|3,118,7,,5.9,,31.3,89.3,O
10.0|4,128,15,,11.7,,154.4,82.0,O
10.0|5,128,12,,9.4,,163.7,92.1,O
10.0|6,156,7,,4.5,,105.6,93.8,O
10.0|7,132,4,,3.0,,30.1,57.5,X
11.0|1,66,19,,28.8,,134.7,90.9,O
11.0|2,83,11,,13.3,,77.8,89.7,O
11.0|3,102,11,,10.8,,88.2,72.8,X
11.0|4,106,8,,7.5,,39.8,81.3,O
11.0|5,145,12,,8.3,,64.7,107.7,O
11.0|6,126,5,,4.0,,83.6,85.3,O
11.0|7,140,8,,5.7,,158.0,78.2,X
12.0|1,53,16,,30.2,,119.5,123.9,O
12.0|2,81,7,,8.6,,86.9,64.5,X
12.0|3,83,9,,10.8,,74.9,71.0,X
12.0|4,104,10,,9.6,,144.0,88.3,O
12.0|5,98,8,,8.2,,97.3,48.8,X
12.0|6,116,4,,3.4,,35.0,52.1,X
12.0|7,110,6,,5.5,,123.3,85.5,O
13.0|1,45,6,,13.3,,38.1,72.8,X
13.0|2,55,8,,14.5,,96.8,60.4,X
13.0|3,64,7,,10.9,,32.8,68.0,X
13.0|4,83,4,,4.8,,30.0,59.1,X
13.0|5,65,6,,9.2,,56.5,62.2,X
13.0|6,88,3,,3.4,,40.0,127.5,O
13.0|7,95,2,,2.1,,23.1,58.3,X
14.0|1,34,11,,32.4,,119.8,81.9,O
14.0|2,36,9,,25.0,,113.6,66.5,X
14.0|3,53,6,,11.3,,75.4,78.7,X
14.0|4,72,7,,9.7,,177.7,73.1,X
14.0|5,69,5,,7.2,,136.4,60.9,X
14.0|6,85,4,,4.7,,76.6,68.1,X
14.0|7,74,2,,2.7,,167.3,64.9,X
15.0|3,32,2,,6.2,,51.1,80.1,O
15.0|4,43,4,,9.3,,132.5,95.4,O
15.0|5,50,5,,10.0,,104.7,43.4,X
15.0|6,48,3,,6.2,,295.2,163.4,O
15.0|7,61,5,,8.2,,90.8,134.7,O
16.0|3,33,4,,12.1,,46.0,25.4,X
16.0|5,37,4,,10.8,,183.6,82.6,O
16.0|7,32,3,,9.4,,153.3,40.6,X
2.0|1,580,171,,29.5,,80.6,84.6,O
2.0|2,494,84,,17.0,,70.9,75.4,X
2.0|3,379,44,,11.6,,55.4,75.2,X
2.0|4,332,38,,11.4,,79.9,90.4,O
2.0|5,290,33,,11.4,,73.9,70.2,X
2.0|6,256,15,,5.9,,72.0,83.0,O
2.0|7,193,17,,8.8,,86.7,81.9,O
3.0|1,430,112,,26.0,,70.3,80.7,O
3.0|2,374,64,,17.1,,77.3,84.2,O
3.0|3,350,50,,14.3,,96.8,85.1,O
3.0|4,317,32,,10.1,,70.7,74.1,X
3.0|5,288,16,,5.6,,54.0,78.2,X
3.0|6,249,30,,12.0,,101.7,67.6,X
3.0|7,253,8,,3.2,,27.4,68.2,X
4.0|1,292,68,,23.3,,67.3,80.2,O
4.0|2,313,49,,15.7,,77.3,83.2,O
4.0|3,304,36,,11.8,,69.9,73.4,X
4.0|4,311,30,,9.6,,61.8,63.9,X
4.0|5,293,11,,3.8,,39.4,63.3,X
4.0|6,263,17,,6.5,,109.5,96.3,O
4.0|7,238,11,,4.6,,59.0,61.5,X
5.0|1,276,75,,27.2,,71.3,73.5,X
5.0|2,249,43,,17.3,,71.3,77.0,X
5.0|3,259,23,,8.9,,54.0,77.0,X
5.0|4,276,25,,9.1,,71.3,75.9,X
5.0|5,258,24,,9.3,,107.8,84.6,O
5.0|6,254,10,,3.9,,49.0,65.5,X
5.0|7,233,9,,3.9,,60.3,67.0,X
6.0|1,189,47,,24.9,,98.6,79.7,X
6.0|2,231,42,,18.2,,84.8,93.5,O
6.0|3,230,24,,10.4,,65.5,71.0,X
6.0|4,242,24,,9.9,,102.6,77.5,X
6.0|5,260,18,,6.9,,75.0,74.5,X
6.0|6,232,16,,6.9,,119.1,82.0,O
6.0|7,231,13,,5.6,,58.0,86.4,O
7.0|1,137,39,,28.5,,102.3,87.6,O
7.0|2,166,29,,17.5,,113.4,80.2,O
7.0|3,209,24,,11.5,,67.5,80.7,O
7.0|4,219,23,,10.5,,65.1,82.7,O
7.0|5,209,12,,5.7,,39.9,64.2,X
7.0|6,198,16,,8.1,,134.4,113.9,O
7.0|7,212,6,,2.8,,40.6,91.7,O
8.0|1,134,39,,29.1,,101.9,89.8,O
8.0|2,148,18,,12.2,,63.9,76.6,X
8.0|3,195,18,,9.2,,56.1,65.6,X
8.0|4,164,22,,13.4,,144.8,96.1,O
8.0|5,177,16,,9.0,,79.4,82.5,O
8.0|6,206,6,,2.9,,41.0,57.3,X
8.0|7,217,6,,2.8,,33.4,66.5,X
9.0|1,111,27,,24.3,,75.7,82.8,O
9.0|2,114,14,,12.3,,58.8,57.2,X
9.0|3,142,18,,12.7,,75.0,85.2,O
9.0|4,154,11,,7.1,,61.3,60.0,X
9.0|5,148,8,,5.4,,71.3,75.3,X
9.0|6,167,11,,6.6,,74.7,90.8,O
9.0|7,149,7,,4.7,,72.3,65.4,X
