bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|16,35,0,,0.0,,0.0,54.0,X
えりも|17,33,1,,3.0,,82.4,62.4,X
むかわ|16,165,7,,4.2,,56.9,92.3,O
むかわ|17,186,13,,7.0,,100.2,91.7,O
むかわ|18,149,7,,4.7,,60.6,82.2,O
むかわ|19,125,4,,3.2,,64.8,79.3,X
むかわ|20,108,11,,10.2,,151.6,79.3,X
むかわ|21,113,5,,4.4,,97.0,69.5,X
むかわ|22,73,2,,2.7,,14.2,76.0,X
むかわ|23,84,8,,9.5,,76.9,93.6,O
むかわ|24,92,7,,7.6,,34.7,89.1,O
むかわ|25,96,5,,5.2,,87.6,62.2,X
仏|16,31,2,,6.5,,97.7,47.4,X
仏|19,30,4,,13.3,,93.3,52.0,X
千歳|16,1811,150,,8.3,,69.3,77.7,X
千歳|17,1712,163,,9.5,,81.9,77.8,X
千歳|18,1671,170,,10.2,,65.6,79.9,X
千歳|19,1672,173,,10.3,,85.3,84.3,O
千歳|20,1689,155,,9.2,,76.0,79.0,X
千歳|21,1697,177,,10.4,,93.3,78.7,X
千歳|22,1765,189,,10.7,,93.9,80.7,O
千歳|23,1751,193,,11.0,,82.8,80.7,O
千歳|24,1766,187,,10.6,,73.9,81.4,O
千歳|25,1755,182,,10.4,,90.9,83.4,O
安平|16,3057,430,,14.1,,77.3,79.1,X
安平|17,3034,432,,14.2,,81.3,80.0,O
安平|18,3232,484,,15.0,,86.7,83.4,O
安平|19,3389,463,,13.7,,75.5,81.0,O
安平|20,3627,493,,13.6,,77.6,79.1,X
安平|21,3600,433,,12.0,,71.5,80.2,O
安平|22,3454,437,,12.7,,79.1,77.5,X
安平|23,3636,431,,11.9,,75.7,74.6,X
安平|24,3519,436,,12.4,,72.2,74.8,X
安平|25,3481,431,,12.4,,66.6,73.9,X
平取|16,259,16,,6.2,,83.7,108.1,O
平取|17,296,19,,6.4,,78.1,76.4,X
平取|18,280,22,,7.9,,59.5,75.9,X
平取|19,289,23,,8.0,,62.6,94.9,O
平取|20,290,17,,5.9,,44.2,60.2,X
平取|21,217,12,,5.5,,92.5,63.8,X
平取|22,205,20,,9.8,,105.3,87.5,O
平取|23,265,26,,9.8,,77.2,91.0,O
平取|24,283,18,,6.4,,59.7,69.0,X
平取|25,308,32,,10.4,,86.5,69.9,X
愛|16,95,10,,10.5,,89.6,65.6,X
愛|17,73,8,,11.0,,49.5,100.1,O
愛|18,75,8,,10.7,,33.1,42.0,X
愛|19,111,18,,16.2,,87.1,104.4,O
愛|20,138,16,,11.6,,83.5,53.8,X
愛|21,133,18,,13.5,,92.2,78.9,X
愛|22,122,11,,9.0,,54.0,90.2,O
愛|23,133,18,,13.5,,91.2,107.0,O
愛|24,181,29,,16.0,,148.7,110.3,O
愛|25,137,14,,10.2,,52.0,58.6,X
新ひだか|16,3275,262,,8.0,,83.5,74.1,X
新ひだか|17,3141,222,,7.1,,88.3,79.3,X
新ひだか|18,2823,228,,8.1,,78.1,70.6,X
新ひだか|19,2953,205,,6.9,,80.2,76.0,X
新ひだか|20,3010,200,,6.6,,75.1,76.1,X
新ひだか|21,2926,235,,8.0,,76.9,75.1,X
