bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,1235,433,,35.1,,81.1,85.4,O
1|02,691,207,,30.0,,79.6,82.5,O
1|03,480,137,,28.5,,77.2,84.8,O
1|04,355,94,,26.5,,68.1,85.0,O
1|05,267,63,,23.6,,92.0,78.2,X
1|06,233,57,,24.5,,93.5,88.4,O
1|07,161,38,,23.6,,128.7,94.1,O
1|08,100,26,,26.0,,131.9,83.4,O
1|09,74,11,,14.9,,50.2,78.5,X
1|10,74,11,,14.9,,50.9,55.9,X
1|11,42,7,,16.7,,42.5,85.6,O
1|12,39,6,,15.4,,39.4,61.6,X
2|01,689,153,,22.2,,87.1,86.1,O
2|02,684,142,,20.8,,86.9,83.9,O
2|03,545,96,,17.6,,88.4,86.7,O
2|04,431,73,,16.9,,72.0,71.9,X
2|05,371,73,,19.7,,101.2,86.1,O
2|06,267,37,,13.9,,60.8,75.0,X
2|07,208,32,,15.4,,71.9,60.8,X
2|08,152,23,,15.1,,66.5,69.6,X
2|09,142,21,,14.8,,78.8,78.5,X
2|10,103,12,,11.7,,45.5,84.6,O
2|11,66,12,,18.2,,131.9,98.0,O
2|12,67,7,,10.4,,100.5,64.2,X
2|13,43,2,,4.7,,24.6,61.4,X
2|14,30,2,,6.7,,16.5,83.8,O
3|01,478,78,,16.3,,74.1,79.9,X
3|02,546,73,,13.4,,73.6,88.0,O
3|03,530,76,,14.3,,75.8,71.2,X
3|04,466,48,,10.3,,58.1,74.3,X
3|05,421,47,,11.2,,73.8,77.9,X
3|06,323,32,,9.9,,54.9,75.3,X
3|07,276,20,,7.2,,59.1,82.8,O
3|08,213,18,,8.5,,59.1,73.4,X
3|09,173,17,,9.8,,68.5,86.0,O
3|10,113,13,,11.5,,87.6,58.2,X
3|11,96,7,,7.3,,32.7,54.1,X
3|12,65,8,,12.3,,86.9,67.9,X
3|13,52,3,,5.8,,42.2,55.5,X
3|14,39,1,,2.6,,4.8,94.8,O
4|01,373,47,,12.6,,70.8,82.9,O
4|02,424,42,,9.9,,71.9,75.7,X
4|03,490,51,,10.4,,74.8,76.8,X
4|04,458,51,,11.1,,74.5,76.5,X
4|05,408,45,,11.0,,85.3,72.5,X
4|06,359,30,,8.4,,100.0,66.1,X
4|07,301,21,,7.0,,71.6,79.2,X
4|08,264,28,,10.6,,131.3,89.4,O
4|09,198,18,,9.1,,97.1,88.8,O
4|10,165,13,,7.9,,78.0,52.8,X
4|11,124,10,,8.1,,119.1,65.0,X
4|12,86,5,,5.8,,48.1,90.0,O
4|13,71,6,,8.5,,48.3,82.7,O
4|14,47,5,,10.6,,155.2,98.6,O
5|01,290,33,,11.4,,67.8,76.6,X
5|02,340,30,,8.8,,81.2,74.4,X
5|03,391,26,,6.6,,57.2,73.0,X
5|04,413,30,,7.3,,91.2,71.9,X
5|05,406,34,,8.4,,105.3,85.9,O
5|06,381,30,,7.9,,79.7,86.4,O
5|07,353,20,,5.7,,53.6,69.7,X
5|08,312,21,,6.7,,61.7,71.2,X
5|09,225,12,,5.3,,49.0,81.1,O
5|10,169,12,,7.1,,128.0,58.2,X
5|11,151,8,,5.3,,81.0,83.5,O
5|12,107,3,,2.8,,19.1,41.1,X
5|13,79,5,,6.3,,95.8,74.7,X
5|14,53,4,,7.5,,83.5,66.3,X
5|15,37,3,,8.1,,73.8,38.2,X
6|01,217,20,,9.2,,69.9,67.3,X
6|02,282,17,,6.0,,81.6,67.4,X
6|03,329,23,,7.0,,111.0,80.5,O
6|04,376,23,,6.1,,97.6,95.5,O
6|05,352,20,,5.7,,65.1,86.4,O
6|06,387,26,,6.7,,149.1,97.4,O
6|07,341,19,,5.6,,102.4,77.1,X
6|08,325,14,,4.3,,63.4,67.3,X
6|09,253,13,,5.1,,82.6,83.5,O
6|10,221,6,,2.7,,38.6,62.0,X
6|11,187,7,,3.7,,47.8,114.1,O
6|12,120,6,,5.0,,97.6,69.2,X
6|13,87,4,,4.6,,45.3,68.4,X
6|14,73,2,,2.7,,55.4,52.6,X
6|15,37,2,,5.4,,49.1,62.8,X
6|16,34,3,,8.8,,35.0,30.9,X
7|01,155,14,,9.0,,92.4,91.3,O
7|02,195,15,,7.7,,118.7,89.7,O
7|03,243,19,,7.8,,76.2,66.2,X
7|04,288,10,,3.5,,41.7,58.1,X
7|05,328,12,,3.7,,52.6,76.4,X
7|06,350,19,,5.4,,82.1,86.1,O
7|07,356,13,,3.7,,49.3,66.6,X
7|08,323,12,,3.7,,70.6,88.4,O
7|09,295,13,,4.4,,72.5,71.4,X
7|10,236,12,,5.1,,93.6,82.7,O
7|11,196,9,,4.6,,108.4,83.9,O
7|12,159,2,,1.3,,17.7,42.7,X
7|13,110,4,,3.6,,71.2,97.1,O
7|14,85,5,,5.9,,205.3,108.1,O
7|15,51,2,,3.9,,141.0,91.6,O
7|16,39,1,,2.6,,23.3,27.7,X
