bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|16,1586,406,,25.6,,80.4,82.9,O
1|17,1588,421,,26.5,,85.6,82.3,O
1|18,1590,394,,24.8,,68.7,81.4,O
1|19,1582,396,,25.0,,80.0,82.1,O
1|20,1601,384,,24.0,,82.0,82.2,O
1|21,1531,379,,24.8,,76.5,83.7,O
1|22,1545,382,,24.7,,74.0,82.0,O
1|23,1603,413,,25.8,,79.3,84.4,O
1|24,1578,411,,26.0,,75.5,83.8,O
1|25,1577,424,,26.9,,87.9,86.6,O
2|16,1579,265,,16.8,,79.5,82.5,O
2|17,1585,271,,17.1,,79.1,81.6,O
2|18,1585,283,,17.9,,81.3,83.3,O
2|19,1585,268,,16.9,,86.9,77.4,X
2|20,1596,255,,16.0,,75.3,84.1,O
2|21,1522,273,,17.9,,78.6,81.7,O
2|22,1546,271,,17.5,,76.2,81.8,O
2|23,1592,290,,18.2,,89.0,82.2,O
2|24,1576,275,,17.4,,77.4,79.5,X
2|25,1571,306,,19.5,,91.8,88.4,O
3|16,1570,187,,11.9,,69.8,80.4,O
3|17,1579,220,,13.9,,88.8,80.3,O
3|18,1573,225,,14.3,,83.2,81.8,O
3|19,1581,201,,12.7,,88.0,84.4,O
3|20,1592,184,,11.6,,71.6,76.9,X
3|21,1514,192,,12.7,,81.5,79.1,X
3|22,1536,210,,13.7,,78.7,77.7,X
3|23,1594,213,,13.4,,74.3,79.3,X
3|24,1582,248,,15.7,,83.1,84.6,O
3|25,1565,189,,12.1,,72.3,77.5,X
4|16,1561,159,,10.2,,79.6,79.7,X
4|17,1573,155,,9.9,,99.4,78.9,X
4|18,1558,156,,10.0,,75.0,77.8,X
4|19,1570,162,,10.3,,80.5,79.2,X
4|20,1580,182,,11.5,,99.4,80.4,O
4|21,1519,142,,9.3,,62.0,70.2,X
4|22,1533,161,,10.5,,87.2,78.6,X
4|23,1586,175,,11.0,,79.3,78.3,X
4|24,1564,165,,10.5,,84.4,78.9,X
4|25,1551,147,,9.5,,81.8,78.5,X
5|16,1543,129,,8.4,,85.0,77.2,X
5|17,1543,112,,7.3,,65.8,77.5,X
5|18,1516,120,,7.9,,74.1,82.7,O
5|19,1525,119,,7.8,,73.5,75.5,X
5|20,1534,132,,8.6,,83.9,78.2,X
5|21,1475,120,,8.1,,83.2,77.1,X
5|22,1479,129,,8.7,,82.0,80.8,O
5|23,1538,113,,7.3,,72.0,79.1,X
5|24,1514,122,,8.1,,75.6,75.9,X
5|25,1492,107,,7.2,,67.6,70.5,X
6|16,1504,107,,7.1,,87.1,80.6,O
6|17,1472,93,,6.3,,67.9,70.2,X
6|18,1453,99,,6.8,,90.2,81.7,O
6|19,1456,107,,7.3,,87.0,84.1,O
6|20,1459,90,,6.2,,77.4,75.9,X
6|21,1417,86,,6.1,,67.4,77.1,X
6|22,1424,88,,6.2,,65.4,77.4,X
6|23,1434,90,,6.3,,80.3,75.6,X
6|24,1400,94,,6.7,,70.0,78.1,X
6|25,1392,101,,7.3,,78.1,80.3,O
