bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,9423,2364,,25.1,,80.6,81.6,O
1|2,4938,1218,,24.7,,78.9,81.4,O
1|3,794,179,,22.5,,76.0,87.7,O
1|4,604,137,,22.7,,69.4,76.1,X
2|1,9398,1788,,19.0,,82.0,84.5,O
2|2,4944,956,,19.3,,83.7,81.7,O
2|3,794,157,,19.8,,84.9,78.6,X
2|4,604,121,,20.0,,75.3,82.0,O
3|1,9376,1350,,14.4,,82.6,82.3,O
3|2,4933,697,,14.1,,77.8,81.8,O
3|3,792,112,,14.1,,80.3,75.1,X
3|4,605,98,,16.2,,90.3,79.6,X
4|1,9325,963,,10.3,,77.2,75.4,X
4|2,4911,532,,10.8,,81.9,78.1,X
4|3,792,80,,10.1,,91.0,80.6,O
4|4,597,52,,8.7,,90.3,76.8,X
5|1,9133,712,,7.8,,71.5,76.8,X
5|2,4810,382,,7.9,,76.8,77.6,X
5|3,776,58,,7.5,,77.8,74.3,X
5|4,591,46,,7.8,,74.3,74.4,X
6|1,8758,559,,6.4,,74.1,75.2,X
6|2,4634,287,,6.2,,68.3,80.0,O
6|3,741,53,,7.2,,64.0,76.5,X
6|4,558,40,,7.2,,111.2,94.7,O
