bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,3779,601,,15.9,,94.2,88.5,O
10.0,2646,192,,7.3,,87.1,78.0,X
11.0,2293,183,,8.0,,106.8,84.3,O
12.0,2056,126,,6.1,,63.9,82.3,O
13.0,1775,116,,6.5,,67.4,60.9,X
14.0,1569,107,,6.8,,62.7,75.0,X
15.0,1251,85,,6.8,,99.9,80.9,O
16.0,979,49,,5.0,,92.9,86.4,O
17.0,271,13,,4.8,,45.0,76.1,X
18.0,185,7,,3.8,,21.1,61.0,X
2.0,3559,415,,11.7,,85.9,78.1,X
3.0,3514,337,,9.6,,71.4,69.6,X
4.0,3418,329,,9.6,,71.8,78.9,X
5.0,3305,279,,8.4,,80.2,76.8,X
6.0,3366,258,,7.7,,69.2,78.3,X
7.0,3338,257,,7.7,,73.8,76.2,X
8.0,3342,256,,7.7,,78.3,75.8,X
9.0,3008,215,,7.1,,80.6,79.1,X
