bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01,3816,797,,20.9,,75.9,82.0,O
02,3805,559,,14.7,,77.6,80.2,O
03,3770,463,,12.3,,76.0,77.5,X
04,3734,362,,9.7,,77.7,76.8,X
05,3664,338,,9.2,,84.6,80.8,O
06,3540,277,,7.8,,85.7,78.6,X
07,3399,210,,6.2,,79.0,75.1,X
08,3206,189,,5.9,,81.3,71.5,X
09,2940,148,,5.0,,77.5,77.4,X
10,2591,121,,4.7,,77.3,70.5,X
11,2321,104,,4.5,,92.5,80.6,O
12,1968,78,,4.0,,71.7,83.2,O
13,1638,60,,3.7,,72.5,73.9,X
14,1324,41,,3.1,,69.4,81.5,O
15,941,41,,4.4,,114.6,87.9,O
16,692,26,,3.8,,61.7,76.9,X
17,179,7,,3.9,,52.4,50.0,X
18,126,4,,3.2,,29.3,86.4,O
